student_id,sentence_id,audio_file,mel_file,ground_truth,transcript,wer,cer,fluency_label,fluency_label_wer,length_class,duration_s,speech_duration_s,hesitation_count,mean_pause_s,zcr,energy_variance,chars_per_sec,cluster_label,length_class_enc
S001,13,S001_013.wav,S001_013_mel.npy,දවසක් අම්මා අශ්ව පැටියාගෙන් උදව්වක් ඉල්ලුවා,දවසක් අම්මාශ්‍ය පැටියාගෙන් උදව්වක් ඉල්ලුවා.,0.3333,0.0789,0,1,long,4.245,3.872,0,0.0,0.1005,0.002328,9.814,2,1
S001,14,S001_014.wav,S001_014_mel.npy,ඔය ගඟ හරි ගැඹුරුයි,ඔයේ ගංග හරි කැඹුරුයුයි,0.75,0.4,2,2,short,1.984,1.76,0,0.0,0.0792,0.002726,8.523,2,0
S001,15,S001_015.wav,S001_015_mel.npy,අශ්ව පැටියා ඉක්මනින් ගෙදර එනවා දැකලා අම්මා පුදුම වුනා,අශ්ව පැටියා ඉක්මනින් ගෙදරෙ නවාද එකලා අම්මා පුදුම වුන්නා.,0.4444,0.0889,0,2,long,5.269,4.544,0,0.0,0.0937,0.002653,9.903,2,1
S001,16,S001_016.wav,S001_016_mel.npy,"සිටුතුමනි, අපට අනුකම්පා කරනු මැනවි",සිටුතුමනි අපට අනුකම්පා කරනු මැනවි.,0.0,0.0,0,0,short,4.267,3.488,0,0.0,0.0981,0.001921,8.601,2,0
S001,17,S001_017.wav,S001_017_mel.npy,බරෙන් වැඩි වන්නේ ගසක මුල කොටසද,බරින් වැඩි වන්නේ ගසක මුල කොටසිද,0.3333,0.08,0,1,long,3.797,2.912,0,0.0,0.0872,0.003348,8.585,2,1
S001,18,S001_018.wav,S001_018_mel.npy,රයිට් සහෝදරයන්ගේ පියා ඔවුන් පුංචිකාලයේ දී කඩදාසි සහ රබර් පටිවලින් සෙල්ලම් අහස් යානා තනා දුන්නේය,රයිත් සහෝදරයන්ගේ පියා ඔවුන් පුංචි කාලේදී කඩිදාස සහ රබර් පටිවලින් සෙල්ලම් අහස්‍යයානා තනා දුන්නේය.,0.4,0.0741,0,1,long,10.133,8.853,4,0.288,0.0965,0.002749,9.149,2,1
S001,19,S001_019.wav,S001_019_mel.npy,පසු කලෙක ඔවුහු බයිසිකල් වැඩ වැඩපොළක් ඇරඹූහ,බසු කලෙක හෝ පයිසිකල් වැඩඵලක් ඇනැඹූහ.,0.8571,0.3333,1,2,long,4.203,3.883,1,0.256,0.0861,0.003001,9.272,2,1
S001,20,S001_020.wav,S001_020_mel.npy,දැන් හැමෝම වාඩිවෙන්න,දැන් හැමම වාඩි වෙන්න,1.0,0.0556,0,2,short,2.603,2.208,1,0.16,0.0731,0.003135,8.152,2,0
S001,21,S001_021.wav,S001_021_mel.npy,අපි ඊළඟ දවසේ තවත් සෙල්ලමක් කරමු,අපි ඊලන්ග දාසෙ සවත් සෙල්ලමක් කරමු,0.5,0.2308,1,2,long,3.413,2.944,0,0.0,0.0942,0.004131,8.832,2,1
S001,22,S001_022.wav,S001_022_mel.npy,මේ සිහින අප නින්දේ දී දකින සිහින නම් නොවේ,මේ සිහින අප නින්දේ දී දකෙන සිහින නම් නොවේ.,0.1111,0.0303,0,1,long,6.016,4.736,1,0.768,0.0855,0.003062,6.968,2,1
S001,23,S001_023.wav,S001_023_mel.npy,ඇගේ ගම ගිංතොට ය,ඇගේ ගම ගින්තොටය,0.5,0.1667,1,2,short,2.411,1.899,0,0.0,0.0788,0.004186,6.32,2,0
S001,24,S001_024.wav,S001_024_mel.npy,මේ පුංචි දැරිය ඇගේ ප්‍රියතම වැඩිහිටි නෑදෑයා ගැන පසු කලෙක එසේ කීවාය,මේ පුංජ දරිය ඇගේ පියතම වැඩිහිටි නෑදෑයා ගන පසු කළෙක එසේ කීවාය.,0.3333,0.1273,1,1,long,6.059,5.728,0,0.0,0.0904,0.004017,9.602,2,1
S001,25,S001_025.wav,S001_025_mel.npy,පින්තූර මගින් කතා කීම ඈත කාලයේ සිට පැවත එන ක්‍රමයකි,පින්තූර මගින් කතා කීම ඈත අත්කාලයේ සිට පැවත එන ක්‍රමයෙකි.,0.2,0.0952,0,1,long,6.08,5.504,1,0.352,0.0945,0.003193,7.631,2,1
S001,26,S001_026.wav,S001_026_mel.npy,මකුළුවා තණ බිස්සේ හැංගුනා,මකුරුවා තන ලිස්සේ හැංගුණා.,0.5,0.0909,0,2,short,2.752,2.432,0,0.0,0.1003,0.002628,9.046,2,0
S001,27,S001_027.wav,S001_027_mel.npy,එළියේ ලස්සන ගැහැණු ළමයෙක් හිටගෙන හිටියා,එළියේ ලස්සන ගෑනු ළමයෙක් හිටගෙන හිටියා,0.1667,0.0882,0,1,long,3.84,3.232,0,0.0,0.0929,0.002716,10.52,2,1
S001,28,S001_028.wav,S001_028_mel.npy,අතරමගදී ඉතාම භයානක දෙයක් සිදුවුණා,අතර මගද ඉතා භයහනක දෙයක් සිදු වුණා,1.0,0.1034,1,2,short,3.669,3.2,0,0.0,0.0892,0.003261,9.062,2,0
S001,29,S001_029.wav,S001_029_mel.npy,සර්පයා මහා විශාලෙට කට ඇරියා,සර්පයා මහා විශාර කටෑරියා,0.6,0.1739,1,2,short,3.264,2.784,0,0.0,0.0992,0.003756,8.261,2,0
S001,30,S001_030.wav,S001_030_mel.npy,ටිකක් හිතලා බලන්නකෝ,ටිකා කිදලා බලන්නකෝ.,0.6667,0.2353,1,2,short,2.475,2.219,1,0.192,0.0795,0.00623,7.662,2,0
S001,31,S001_031.wav,S001_031_mel.npy,තනියෙන් ලියන්න,තනියෙන් ලියන්න,0.0,0.0,0,0,short,1.941,1.312,0,0.0,0.0787,0.004556,9.909,2,0
S001,32,S001_032.wav,S001_032_mel.npy,පස්වැනි ගුණාංගය,පස්සනි ගුණංග,1.0,0.2857,1,2,short,2.005,1.6,0,0.0,0.1115,0.007547,8.75,2,0
S001,33,S001_033.wav,S001_033_mel.npy,බරණැස් නුවර සිටුවරයෙක් වාසය කළේය,බරණස් නොර්ර සිටුවර එක් වාසේ කළේය.,1.0,0.25,1,2,short,4.139,3.488,1,0.32,0.1169,0.003142,8.028,2,0
S001,34,S001_034.wav,S001_034_mel.npy,නායකතුමා මෙසේ පිළිතුරු දුන්නේය,නායක සිරිතුමා මැසේ පිහිතුර දුන්නේය.,1.0,0.2593,1,2,short,4.736,4.352,1,0.256,0.0844,0.003345,6.204,2,0
S001,35,S001_035.wav,S001_035_mel.npy,තේරවිලි වර්ග කිහිපයක් තිබේ,තේනවිලි වර්ක කිහිපයක් තිබේ.,0.5,0.087,0,2,short,2.795,2.443,0,0.0,0.074,0.005879,9.416,2,0
S001,36,S001_036.wav,S001_036_mel.npy,අපේ සීයා කතන්දර කීමට සමතෙකි,අපේ සීයා කතැන්දර කීමට සමතකි.,0.4,0.087,0,1,short,3.52,3.136,0,0.0,0.0981,0.002471,7.334,2,0
S001,37,S001_037.wav,S001_037_mel.npy,මේ අය අතරමගදී අම්බලමක නතර වුණා,මේ අය අතර මකදි අම්බැලමකන අතර වුණා,0.6667,0.16,1,2,long,3.669,3.232,0,0.0,0.0794,0.002432,7.735,2,1
S001,38,S001_038.wav,S001_038_mel.npy,හරි අපූරු කතාවක්,හරි අපූරු කතාවක්,0.0,0.0,0,0,short,2.176,1.664,0,0.0,0.0877,0.006999,8.413,2,0
S001,39,S001_039.wav,S001_039_mel.npy,කටුස්සාගේ කරේ රත්තරන් බැන්දා වගෙයි,කටසාගේ කරේ රතරන් බැඳා වගේ,0.8,0.3667,2,2,short,3.2,2.848,0,0.0,0.0988,0.00456,10.534,2,0
S001,40,S001_040.wav,S001_040_mel.npy,මුල් ගුරුතුමා කීවේය,මුල් ගුරුතුමා කීවේය.,0.0,0.0,0,0,short,2.347,1.856,0,0.0,0.0827,0.003968,9.159,2,0
S001,41,S001_041.wav,S001_041_mel.npy,අද පුස්තකාල පන්තියක් කරමු,අද පුස්තකාල පන්තිය කරමු,0.25,0.0909,0,1,short,3.605,2.464,1,0.736,0.0964,0.002441,8.929,2,0
S001,42,S001_042.wav,S001_042_mel.npy,මම ගල්පරයක ඇලී ජීවත් වුනෙමි,මම ගල් පරේකැලියි ජීවත් වුනෙමි.,0.4,0.2174,1,1,short,3.243,2.688,0,0.0,0.0848,0.002535,8.557,2,0
S001,43,S001_043.wav,S001_043_mel.npy,බෙලි කටුව කතා කරයි,බෙරි කටුව කතා කරයි.,0.25,0.0667,0,1,short,2.475,2.315,0,0.0,0.1129,0.004928,6.48,2,0
S001,44,S001_044.wav,S001_044_mel.npy,සති අන්තේ නිවාඩුවට බිංදුලා ගමේ ගියා,සතිය අන්තය නිවාඩුවට බින්දුලා ගමේ ගියා,0.5,0.1333,1,2,long,3.605,3.456,0,0.0,0.0849,0.00239,8.681,2,1
S001,45,S001_045.wav,S001_045_mel.npy,මොනවාද ඒවායේ නම්,මොනැවද ඒවායේ නම්,0.3333,0.1429,1,1,short,2.133,1.76,0,0.0,0.0776,0.004844,7.955,2,0
S001,46,S001_046.wav,S001_046_mel.npy,නංගි උත්තර දුන්නා,නංගේ උත්තර දුන්නා,0.3333,0.0667,0,1,short,2.304,1.824,0,0.0,0.0758,0.003842,8.224,2,0
S001,47,S001_047.wav,S001_047_mel.npy,පාර කියන අත්තම්මා,පාර කියන අත්දම්මා,0.3333,0.0667,0,1,short,2.325,1.632,0,0.0,0.0825,0.006477,9.191,2,0
S001,48,S001_048.wav,S001_048_mel.npy,ඇයගේ කැපවීම පුදුමාකාරය,ඇයගේ කැබවීම පුදුමා කාරය.,1.0,0.05,0,2,short,2.752,2.432,0,0.0,0.0774,0.004111,8.224,2,0
S001,49,S001_049.wav,S001_049_mel.npy,මිනිසාගේ පරම යුතුකම මිනිසාට සේවය කිරීම,මිලිසාගේ පරම යුතුකම් මිලිසාට සේවේ කීම,0.8333,0.1818,1,2,long,4.011,3.488,0,0.0,0.0958,0.002911,9.461,2,1
S001,50,S001_050.wav,S001_050_mel.npy,අපි මේ වන විට පැය දොළහක් වැඩ කර පැය දොළහක් විවේක ගත්තා,අපි මේ වනවිට පැයිදොලාක් වඩ කර පැයිදොලාක් විවේක ගත්තා,0.5833,0.1163,1,2,long,4.459,4.0,0,0.0,0.0751,0.00333,10.75,2,1
S001,51,S001_051.wav,S001_051_mel.npy,අප කවුරුත් පුදුමයට පත්කරමින් ඈට පණ ආවා,අප කවුරුත් පුදමයට පත්කරමින් ඈට පණාවා,0.4286,0.0625,0,2,long,3.605,3.2,0,0.0,0.0775,0.001647,10.0,2,1
S001,52,S001_052.wav,S001_052_mel.npy,සුගන්ධවත් පුෂ්පයෝ අපගේ සොහොයුරියෝය,සුගන්දවත් පුෂ්පයෝ අපගේ සහවදරියෝය,0.25,0.129,1,1,short,3.52,3.104,0,0.0,0.1022,0.002551,9.987,2,0
S001,53,S001_053.wav,S001_053_mel.npy,ගංගාවෝ අපගේ සොහොයුරෝ වෙති,ගංගාවෝ අපගේ සහෝයුරො වෙති,0.25,0.1364,1,1,short,3.072,2.752,0,0.0,0.0933,0.004355,7.994,2,0
S001,54,S001_054.wav,S001_054_mel.npy,නංගී මට නොදී කිසිවක් නොකනවා ඇතැයි මට සිතේ,නංගීය මඩ නොදී කිසිවක් නොකෙනවා ඇතැයි මට සිතේ,0.375,0.0882,0,1,long,4.267,3.776,0,0.0,0.0987,0.001719,9.004,2,1
S001,55,S001_055.wav,S001_055_mel.npy,නංගි උදේ පාන්දරින්ම නැගිටියි,නංගින් උදේ පාන්දරින්ම නැගිටි,0.5,0.16,1,2,short,2.88,2.304,0,0.0,0.071,0.006789,10.851,2,0
S001,56,S001_056.wav,S001_056_mel.npy,ඈ මා ගෙදර යන විට අසනු ඇත,ඇය මා ගෙදරේ අනවිටය අසනු ඇත.,0.5714,0.2778,1,2,long,3.008,2.304,0,0.0,0.0986,0.003026,7.813,2,1
S001,57,S001_057.wav,S001_057_mel.npy,ගොවිතැන සඳහා භාවිත වන උපකරණ එකින් එක විස්තර කරද්දී ළමයි සාවධානව අසා සිටියහ,ගොවිතාන සඳහා භාවිත වන උපකරන එකින් එක විස්තර කරත්දි ළමයි සාවදානව අසා සිටියහ.,0.1538,0.0484,0,1,long,9.045,7.584,3,0.309,0.0992,0.002357,8.175,2,1
S001,58,S001_058.wav,S001_058_mel.npy,ළමයි පොල්තෙල් හිඳීමට භාවිත කරන සෙක්කුව අසලට රැස් වූහ,ළමයි පොරිතේ හිඳීමට වාවිත ගන්න සෙක්කුව අසරයට රැසූහ.,0.6667,0.2955,1,2,long,5.269,4.8,1,0.224,0.103,0.002131,9.167,2,1
S001,59,S001_059.wav,S001_059_mel.npy,ඒ ගොල්ලන්ට අලුත් ක්‍රමයක් හොයා ගන්න වෙනවා,ඒගොල්ලන්ට අලුත් ක්‍රමයක් ඔයාගන්න වෙනවා.,0.5714,0.0571,0,2,long,4.245,3.232,0,0.0,0.0797,0.002632,10.829,2,1
S001,60,S001_060.wav,S001_060_mel.npy,බොහෝ දෙනෙක් මම එනතුරු බලා ගෙන හිටියා,බොහෝ දෙනෙක් මම එනසුරු බලාගෙන හිටියා,0.4286,0.0333,0,2,long,3.477,3.125,0,0.0,0.0835,0.004419,9.599,2,1
S001,61,S001_061.wav,S001_061_mel.npy,මට ආරංචි වුණා රජතුමාගේ ගුහාව ළඟ අනතුරක් කියලා,මට ආරංච පුණා රජතුමාගේ ගුහාව ළඟ අනසුරක් කියලා.,0.375,0.0789,0,1,long,5.611,4.672,1,0.416,0.0914,0.004216,8.134,2,1
S001,62,S001_062.wav,S001_062_mel.npy,පැය අටකට පසු ඔවුන්ට පියාපත් සලන හඬක් ඇසිණි,බැය අටගට පසුම් ඔවුන්ට වියාපත් සලෙන හඬක් හැසුනි.,0.75,0.2571,1,2,long,4.48,4.0,0,0.0,0.099,0.003897,8.75,2,1
S001,63,S001_063.wav,S001_063_mel.npy,මිනිසුන් ගැන විස්තර දැනගන්න බොහෝ ක්‍රම තියෙනවා,මිනිසිම් ගැන විස්තර දැනගන්න බොහෝ ක්‍රමතියනවා,0.4286,0.075,0,2,long,4.651,3.584,1,0.288,0.0893,0.002745,11.161,2,1
S001,64,S001_064.wav,S001_064_mel.npy,ඔබට දින හතරක් දෙමි,ඔබට දින හතරක් දෙමි,0.0,0.0,0,0,short,2.347,1.92,0,0.0,0.0714,0.004096,7.812,2,0
S001,65,S001_065.wav,S001_065_mel.npy,ඇදුරුතුමා බෙහෙවින් සතුටට පත් විය,ඇදුරුතුමා බෙහෙවින් සදුරට පතිය,0.6,0.1429,1,2,short,3.669,2.752,0,0.0,0.0827,0.001067,10.174,2,0
S001,66,S001_066.wav,S001_066_mel.npy,ඔබට පේන්නේ කුමක්දැයි මම ඇසුවෙමි,ඔබට පේන්නේ කුමක්දැයි මම ඇසුවෙමි.,0.0,0.0,0,0,short,3.285,2.848,0,0.0,0.0922,0.005132,9.48,2,0
S001,67,S001_067.wav,S001_067_mel.npy,මෙතැන තමයි හොඳම තැන,මෙතැන පමයි හොඳම තැන,0.25,0.0625,0,1,short,2.325,2.112,0,0.0,0.0804,0.004913,7.576,2,0
S001,68,S001_068.wav,S001_068_mel.npy,ඇය කාචය සකස් කර නැවත බැලූවාය,ඇයේ කාජය සකස් කර නැවත බැලුවාය.,0.5,0.1304,1,2,long,3.371,2.72,0,0.0,0.0987,0.002158,8.456,2,1
S002,1,S002_001.wav,S002_001_mel.npy,යාළුවෝ හැමදෙනාම නිදහස් උත්සවය බැලුවා,යාළුවෝ හැම දෙනාම නිදහස් උත්සවය බැලුව,0.6,0.0312,0,2,short,4.949,4.405,1,0.224,0.092,0.003621,7.264,2,0
S002,2,S002_002.wav,S002_002_mel.npy,කවිඳු යාළුවොත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියා,කවිඳුහු යාළුවොත් එක්ක මිදුලේ සෙල්ලම් කරමින් සිටියක්,0.2857,0.0952,0,1,long,10.581,5.237,0,0.0,0.0825,0.003702,8.019,2,1
S002,3,S002_003.wav,S002_003_mel.npy,අපේ රටේ නිදහස් උත්සවය,අපේ රටේ නිදහස් උත්සවය,0.0,0.0,0,0,short,3.477,2.88,0,0.0,0.0837,0.005574,6.25,2,0
S002,4,S002_004.wav,S002_004_mel.npy,මම කෝෂය ඇතුලේ සති දෙකක් විතර හිටියා,මම කෝෂයේ ඇතුළේ සති දෙකක් පුත්තර හිටියා,0.2857,0.1724,1,1,long,4.416,3.968,0,0.0,0.0984,0.0039,7.308,2,1
S002,5,S002_005.wav,S002_005_mel.npy,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ,පොත් කියවීමෙන් මිනිසා සම්පූර්ණ වේ.,0.0,0.0,0,0,short,4.075,3.552,0,0.0,0.0931,0.00632,8.164,2,0
S002,6,S002_006.wav,S002_006_mel.npy,මුහුද හරිම ලස්සනයි,මුහුදු මුහුදෑ හරි මැලාසනයි.,1.0,0.625,2,2,short,3.2,2.784,0,0.0,0.0889,0.002045,5.747,2,0
S002,7,S002_007.wav,S002_007_mel.npy,හැමෝම එකට අත් අල්ලා ගන්න,හැමෝම එකට අත්අල්ලා ගන්න,0.4,0.0,0,1,short,3.136,2.688,0,0.0,0.0879,0.003844,7.44,2,0
S002,8,S002_008.wav,S002_008_mel.npy,මම එහෙනම් නාගෙන එන්නම්,මම එහෙනම් නාගෙන එන්නම්,0.0,0.0,0,0,short,3.072,2.72,0,0.0,0.0836,0.005001,6.985,2,0
S002,9,S002_009.wav,S002_009_mel.npy,අපි අද පොල් කැඩුවා,අපි අද පොල් කැඩුවා,0.0,0.0,0,0,short,2.88,2.208,1,0.288,0.0816,0.004291,6.793,2,0
S002,10,S002_010.wav,S002_010_mel.npy,"ඇයි හිනා වෙන්නේ, මට රජ වෙන්න බැරිද",ඇයි හිනාවෙන්නෙ මට රජ වෙන්න බැරිද?,0.2857,0.037,0,1,long,5.739,4.032,2,0.512,0.0802,0.004124,6.944,2,1
S002,11,S002_011.wav,S002_011_mel.npy,දුව සටහන් පොතේ මොනවාද ලියා ගත්තේ,තුව සටහන් පොතේ මොනවාදළියාගත්තේ,0.6667,0.037,0,2,long,5.141,4.8,0,0.0,0.0827,0.001438,5.625,2,1
S002,12,S002_012.wav,S002_012_mel.npy,ඉතින් මෙච්චර පරක්කු වුනේ ඇයි,ඉතිම් මේ චර පරක්වූ නැහැයි,1.0,0.4167,2,2,short,3.413,2.848,0,0.0,0.0721,0.004664,8.427,2,0
S002,13,S002_013.wav,S002_013_mel.npy,දවසක් අම්මා අශ්ව පැටියාගෙන් උදව්වක් ඉල්ලුවා,දාවසක් අම්මා අශ්‍ය පැටියාගෙන් උදව්වක් කිල්ලුව,0.5,0.1579,1,2,long,4.608,4.064,0,0.0,0.101,0.003098,9.35,2,1
S002,14,S002_014.wav,S002_014_mel.npy,ඔය ගඟ හරි ගැඹුරුයි,ඔය ගඟ හරිම ගැඹුරුයි,0.25,0.0667,0,1,short,2.944,2.304,0,0.0,0.0766,0.007036,6.51,2,0
S002,15,S002_015.wav,S002_015_mel.npy,අශ්ව පැටියා ඉක්මනින් ගෙදර එනවා දැකලා අම්මා පුදුම වුනා,අශ්ව පැටියා ඉක්මනින් ගෙදරේ නවාදැ කළා අම්මා පුදුම වුනා,0.3333,0.0222,0,1,long,6.549,5.76,1,0.256,0.0923,0.002486,7.812,2,1
S002,16,S002_016.wav,S002_016_mel.npy,"සිටුතුමනි, අපට අනුකම්පා කරනු මැනවි",සිටු තුමනි අපට අනුකම්පා කරනු මැනවි.,0.4,0.0,0,1,short,5.333,4.0,1,0.448,0.0813,0.002807,7.5,2,0
S002,17,S002_017.wav,S002_017_mel.npy,බරෙන් වැඩි වන්නේ ගසක මුල කොටසද,බාරෙන් වැඩි වන්නේ ගසක මුලකොටසද,0.5,0.04,0,2,long,4.544,4.064,1,0.224,0.0871,0.003333,6.152,2,1
S002,18,S002_018.wav,S002_018_mel.npy,රයිට් සහෝදරයන්ගේ පියා ඔවුන් පුංචිකාලයේ දී කඩදාසි සහ රබර් පටිවලින් සෙල්ලම් අහස් යානා තනා දුන්නේය,රයිට් සහෝදරයන්ගේ පියා ඔවුන් පුංචි කාලයේදී කඩදාසි සහ රබර් පටිවලින් සෙල්ලම් අහස්‍යානා තනා දුන්නේ,0.3333,0.0247,0,1,long,13.739,11.072,5,0.346,0.098,0.001853,7.316,2,1
S002,19,S002_019.wav,S002_019_mel.npy,පසු කලෙක ඔවුහු බයිසිකල් වැඩ වැඩපොළක් ඇරඹූහ,පසුකාලෙක ඔහු බ්යසිකල් වැඩ පොලක් ඇරැඹූහ.,0.8571,0.25,1,2,long,5.781,5.216,1,0.256,0.0953,0.003216,6.902,2,1
S002,20,S002_020.wav,S002_020_mel.npy,දැන් හැමෝම වාඩිවෙන්න,දැං ඇමෝම වාඩි වෙන්න,1.0,0.2222,1,2,short,6.315,4.64,2,0.464,0.089,0.003915,3.879,2,0
S002,21,S002_021.wav,S002_021_mel.npy,අපි ඊළඟ දවසේ තවත් සෙල්ලමක් කරමු,අපි ඊ ළඟදාවසේ තවත්සෙල්ලමක් කරමු,0.6667,0.0385,0,2,long,4.267,3.84,0,0.0,0.0926,0.005997,6.771,2,1
S002,22,S002_022.wav,S002_022_mel.npy,මේ සිහින අප නින්දේ දී දකින සිහින නම් නොවේ,මේ සිහින අප නින්දේදී දකින සිහින නම් නොවේ.,0.2222,0.0,0,1,long,4.949,4.245,1,0.224,0.0879,0.006055,7.773,2,1
S002,23,S002_023.wav,S002_023_mel.npy,ඇගේ ගම ගිංතොට ය,ඇගේ ගම ගින්තොටය,0.5,0.1667,1,2,short,3.413,2.517,1,0.256,0.085,0.00648,4.767,2,0
S002,24,S002_024.wav,S002_024_mel.npy,මේ පුංචි දැරිය ඇගේ ප්‍රියතම වැඩිහිටි නෑදෑයා ගැන පසු කලෙක එසේ කීවාය,මේ පුංචි දැරිය ඇගේ ප්‍රියතම වැඩිහිටි නෑදෑයා ගැන පසු කාලෙක එසේ කීවාය.,0.0833,0.0182,0,1,long,8.213,7.232,3,0.245,0.1019,0.002096,7.605,2,1
S002,25,S002_025.wav,S002_025_mel.npy,පින්තූර මගින් කතා කීම ඈත කාලයේ සිට පැවත එන ක්‍රමයකි,පින්තූර මගින් කතා කීම ඈත කාලයේ සිට පැවත එන ක්‍රමයකි.,0.0,0.0,0,0,long,8.917,6.613,3,0.64,0.0994,0.003738,6.351,2,1
S002,26,S002_026.wav,S002_026_mel.npy,මකුළුවා තණ බිස්සේ හැංගුනා,මකුළුවා තම තන බිස්සේ හැංගුණා.,0.25,0.0909,0,1,short,4.672,4.192,1,0.16,0.1116,0.004488,5.248,2,0
S002,27,S002_027.wav,S002_027_mel.npy,එළියේ ලස්සන ගැහැණු ළමයෙක් හිටගෙන හිටියා,එළියේ ලස්සන ගෑනුලමේ හිටගෙන හිටියා,0.3333,0.2059,1,1,long,4.352,3.648,0,0.0,0.0914,0.003001,9.32,2,1
S002,28,S002_028.wav,S002_028_mel.npy,අතරමගදී ඉතාම භයානක දෙයක් සිදුවුණා,අතර මඟදී ඉතාම භයානක දෙයක් සිදුවුණා,0.4,0.0345,0,1,short,4.523,3.584,0,0.0,0.0821,0.005265,8.092,2,0
S002,29,S002_029.wav,S002_029_mel.npy,සර්පයා මහා විශාලෙට කට ඇරියා,සර්පයා මහ විශාලෙට කට ඇරිය.,0.4,0.087,0,1,short,3.392,3.136,0,0.0,0.1163,0.004989,7.334,2,0
S002,30,S002_030.wav,S002_030_mel.npy,ටිකක් හිතලා බලන්නකෝ,ටිකක් හිතලා බලන්නුකෝ.,0.3333,0.0588,0,1,short,2.219,1.92,0,0.0,0.0873,0.006143,8.854,2,0
S002,31,S002_031.wav,S002_031_mel.npy,තනියෙන් ලියන්න,තනිඉං ලියන්,1.0,0.3846,2,2,short,1.6,1.248,0,0.0,0.0897,0.00695,10.417,2,0
S002,32,S002_032.wav,S002_032_mel.npy,පස්වැනි ගුණාංගය,පස්වැනි ගුණාංගය.,0.0,0.0,0,0,short,1.856,1.568,0,0.0,0.1017,0.006918,8.929,2,0
S002,33,S002_033.wav,S002_033_mel.npy,බරණැස් නුවර සිටුවරයෙක් වාසය කළේය,බරණැස් නුවර සිතුවරයෙක් වාසේ කොලේය.,0.6,0.1071,1,2,short,3.861,3.616,0,0.0,0.1007,0.004538,7.743,2,0
