child_id,annotation_id,spacing_std,baseline_std,local_baseline_drift,avg_slant,avg_size_variation,curve_smoothness,loop_roundness,stroke_continuity,stroke_thickness_consistency,density_distribution,character_shape_consistency,character_proportion_variation,upper_lower_balance,character_spacing_variation,word_spacing_variation,contrast_score,blur_score,ink_density,text_visibility_score,word_detection_ratio,spacing_score,alignment_score,slant_score,size_score,curve_score,loop_score,continuity_score,thickness_score,density_score,shape_score,proportion_score,balance_score,character_spacing_score,contrast_quality_score,blur_quality_score,ink_density_score,text_visibility_quality_score,word_detection_score,overall_score,label,teacher_spacing_rating,teacher_alignment_rating,teacher_size_rating,teacher_slant_rating,teacher_curve_rating,teacher_loop_rating,teacher_stroke_continuity_rating,teacher_shape_rating,teacher_proportion_rating,teacher_structural_balance_rating,teacher_character_spacing_rating,teacher_stroke_thickness_rating,teacher_density_rating,teacher_legibility_rating,teacher_overall_rating,teacher_overall_label,teacher_vs_system_score_difference
11,SIN-ANN-0011,0.59411,0.286223,81.580432,11.456763,0.602345,0.111861,0.356549,0.762785,0.150052,501.478741,0.899923,0.309347,0.74408,0.286551,0.583584,27.447297,150.503194,21.916132,92.127323,5.659409,2,3,5,2,1,2,4,5,1,5,3,4,3,2,4,5,5,5,3.29,Average,3,4,4,4,3,3,5,5,4,4,4,5,3,4,3.78,Good,0.49
12,SIN-ANN-0012,0.523853,0.508116,71.692655,9.811271,1.281338,0.136349,0.411364,0.419502,0.605833,586.667283,0.558756,0.546405,0.891122,0.334228,0.53104,28.153197,712.398185,17.97509,49.119754,11.972402,2,1,5,1,1,2,2,2,1,3,1,5,3,2,5,5,2,5,2.55,Below Average,2,3,3,4,3,2,2,3,2,5,4,3,3,3,3.27,Average,0.72
13,SIN-ANN-0013,0.382264,0.629698,102.192907,11.476154,1.23253,0.153794,0.225013,0.344617,0.989409,1214.955506,0.297773,0.710432,0.360505,0.795446,0.458324,17.776039,345.849789,21.119736,72.225552,23.002221,3,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,2.13,Below Average,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1.14,Poor,-0.99
14,SIN-ANN-0014,0.5058,0.775797,96.814755,7.787846,0.756417,0.187183,0.2188,0.429937,0.732255,1404.345245,0.353871,0.467591,0.653833,0.602808,0.508061,30.586859,94.233528,8.654211,68.294484,23.388902,2,1,5,1,1,1,2,1,1,1,2,3,1,2,3,5,4,5,2.2,Below Average,2,1,3,2,1,2,2,1,2,3,2,2,1,1,1.62,Below Average,-0.58
15,SIN-ANN-0015,0.458634,0.401333,120.780834,7.961545,1.109001,0.134927,0.474632,0.674164,0.445331,677.250987,0.681764,0.318222,0.597769,0.349148,0.489559,17.303705,308.502968,41.860865,175.849655,0.2,3,2,5,1,1,3,3,3,1,3,3,3,3,1,5,5,5,1,2.79,Average,3,4,4,4,3,4,4,4,5,4,3,4,4,4,4.01,Good,1.22
16,SIN-ANN-0016,0.077419,0.546447,76.490669,5.62602,0.694224,0.092886,0.295046,0.807858,0.442936,449.525405,0.723173,0.281353,0.709568,0.269251,0.11002,28.42806,562.106401,13.467031,82.120515,19.23592,5,1,5,1,2,1,4,3,2,4,3,4,3,2,5,5,4,5,3.19,Average,5,3,4,5,4,4,5,4,4,3,4,4,4,4,3.98,Good,0.79
17,SIN-ANN-0017,0.18401,0.138755,47.971653,7.330073,0.383939,0.118734,0.381654,0.597878,0.417775,465.534451,0.805766,0.372265,0.907688,0.264069,0.131728,30.447214,531.363549,36.035822,70.902122,6.968628,5,4,5,3,1,2,3,3,2,4,3,5,3,2,5,5,4,5,3.63,Good,5,5,4,4,4,3,3,5,4,5,4,4,4,4,4.06,Good,0.43
18,SIN-ANN-0018,0.253716,0.422984,62.401391,15.576415,1.421565,0.115025,0.27794,0.602995,0.583234,1191.117666,0.816317,0.406469,0.415196,0.279982,0.263366,32.57055,30,16.879753,64.229501,15.467678,4,2,4,1,1,1,3,2,1,4,2,2,3,2,1,5,3,5,2.55,Below Average,4,3,1,1,3,2,3,4,3,2,5,3,2,3,3.07,Average,0.52
19,SIN-ANN-0019,0.215706,0.487803,37.179158,8.73913,0.62877,0.112329,0.379569,0.713402,0.723536,70.330484,0.817948,0.27794,0.907967,0.404322,0.269647,38.099801,584.448996,2,108.354917,18.312151,4,1,5,2,1,2,4,1,5,4,3,5,2,3,5,3,5,5,3.24,Average,5,3,5,4,4,3,5,3,4,5,4,3,5,3,3.74,Good,0.5
20,SIN-ANN-0020,0.688224,0.528544,63.677607,3.722452,1.228727,0.116809,0.260684,0.621193,0.512787,448.153288,0.757101,0.46552,0.379691,0.463185,0.69586,15.125051,645.100425,2,128.911131,27.230224,2,1,5,1,1,1,3,2,2,4,2,1,2,1,5,3,5,5,2.45,Below Average,1,2,2,4,3,2,3,3,3,2,4,4,3,2,2.88,Average,0.43
21,SIN-ANN-0021,0.056127,0.233941,82.329662,9.216876,0.528208,0.112245,0.358691,0.569763,0.496287,613.236743,0.674971,0.31521,0.652364,0.255425,0.02,29.553847,169.656806,22.010568,138.629131,28.203596,5,3,5,2,1,2,3,3,1,3,3,3,3,2,4,5,5,5,3.25,Average,5,5,5,3,4,3,3,4,4,3,5,3,4,3,4.07,Good,0.82
22,SIN-ANN-0022,0.759463,0.74123,104.553347,17.772978,1.694787,0.184397,0.104293,0.297456,0.74729,1274.557639,0.340028,0.610446,0.440246,0.604107,0.780221,35.433215,552.166424,25.076363,91.528266,9.906295,1,1,4,1,1,1,1,1,1,1,1,2,1,3,5,5,5,5,2.03,Below Average,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,Poor,-1.03
23,SIN-ANN-0023,0.621733,0.504211,78.276273,7.629041,0.459358,0.161402,0.401282,0.482965,0.587295,448.749467,0.479265,0.41615,0.787579,0.243792,0.55334,32.592088,761.384706,9.693183,55.469934,40.223754,2,1,5,2,1,2,2,2,2,2,2,4,4,2,5,5,3,5,2.73,Average,3,3,4,4,2,3,3,3,3,4,4,3,4,3,3.24,Average,0.51
24,SIN-ANN-0024,0.282133,0.306048,3.346952,1.41574,0.350656,0.077608,0.31741,0.827965,0.584131,458.160147,0.794417,0.281446,0.916948,0.03,0.289418,17.524471,127.270745,27.13842,104.445142,19.57627,4,2,5,3,2,2,4,2,2,4,3,5,5,1,3,5,5,5,3.43,Average,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,Very Good,1.57
25,SIN-ANN-0025,0.23852,0.549961,91.581182,6.306185,0.960675,0.168393,0.383721,0.493459,0.630339,817.699403,0.613898,0.512878,0.490496,0.508565,0.282743,23.045494,795.461243,24.551717,58.361119,44.486417,4,1,5,1,1,2,2,2,1,3,2,2,2,1,5,5,3,5,2.57,Below Average,4,2,3,3,3,3,3,3,2,2,2,3,2,3,2.93,Average,0.36
26,SIN-ANN-0026,0.755276,0.531485,115.183855,12.934518,0.99718,0.157071,0.205818,0.337216,0.723069,1307.48067,0.618844,0.613191,0.443486,0.425356,0.727313,31.828816,298.217019,25.068327,90.58502,47.570618,1,1,4,1,1,1,1,1,1,3,1,2,2,2,5,5,5,5,2.14,Below Average,2,2,2,2,2,2,1,3,2,2,3,2,1,2,2.25,Below Average,0.11
27,SIN-ANN-0027,0.637477,0.513558,117.745111,8.402914,1.292057,0.095655,0.408145,0.336499,0.337009,400.257209,0.510195,0.492262,0.507999,0.370279,0.657148,14.433077,30,15.076136,154.472654,11.795529,2,1,5,1,2,2,1,4,2,2,2,2,3,1,1,5,5,5,2.47,Below Average,3,2,2,3,4,4,2,3,3,3,3,4,3,2,2.86,Average,0.39
28,SIN-ANN-0028,0.086201,0.078056,1.556624,4.749685,0.507138,0.082547,0.447464,0.852143,0.405583,314.031718,0.673993,0.323106,0.902944,0.181361,0.084414,28.88897,715.738546,8.049637,64.680887,26.306658,5,5,5,2,2,2,5,3,3,3,3,5,4,2,5,5,3,5,3.79,Good,5,5,5,5,5,4,5,4,5,5,4,5,4,5,4.53,Very Good,0.74
29,SIN-ANN-0029,0.314633,0.539067,80.855593,5.688017,0.94084,0.130077,0.425177,0.494584,0.323071,286.737259,0.834173,0.222871,0.641371,0.376646,0.313354,32.452992,474.390398,40.050243,132.639402,30.261368,4,1,5,1,1,2,2,4,3,4,4,3,3,2,5,5,5,5,3.14,Average,4,3,4,4,4,4,3,4,5,3,3,4,4,4,3.87,Good,0.73
30,SIN-ANN-0030,0.656363,0.390311,80.639017,11.178783,0.985317,0.074514,0.355106,0.808243,0.146005,771.49984,0.977146,0.114944,0.826398,0.190578,0.593774,17.718352,76.954613,20.985292,119.576333,24.350167,2,2,5,1,2,2,4,5,1,5,5,4,4,1,2,5,5,5,3.2,Average,3,4,4,4,5,4,5,5,5,4,5,5,5,5,4.5,Very Good,1.3
31,SIN-ANN-0031,0.272591,0.317394,42.602523,9.175182,0.682022,0.08618,0.493135,0.720026,0.657854,240.517071,0.891366,0.351688,0.913107,0.184249,0.226571,9.497183,3.609436,8.414663,30.502724,0,4,2,5,1,2,3,4,2,3,5,3,5,4,1,1,5,1,1,2.96,Average,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4.88,Very Good,1.92
32,SIN-ANN-0032,0.809241,0.771091,121.007407,13.870875,1.230456,0.17837,0.107223,0.489432,0.746276,1272.968454,0.250319,0.591981,0.228819,0.807293,0.916176,25.831889,405.196811,2,168.373191,23.657577,1,1,4,1,1,1,2,1,1,1,1,1,1,2,5,3,5,5,1.91,Below Average,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Poor,-0.91
33,SIN-ANN-0033,0.808294,0.710309,71.268427,13.43298,0.908909,0.190653,0.33761,0.355192,0.842988,515.617612,0.441031,0.558172,0.14435,0.50998,0.816485,20.964634,357.523915,39.159277,94.374276,40.101063,1,1,4,1,1,2,1,1,1,2,1,1,2,1,5,5,5,5,2.05,Below Average,1,1,2,2,1,2,1,2,2,1,2,1,3,1,1.5,Below Average,-0.55
34,SIN-ANN-0034,0.557792,0.052712,71.016439,10.568647,0.579623,0.135739,0.360117,0.736996,0.433335,418.946807,0.850076,0.07794,0.716494,0.28247,0.505051,22.28022,382.550083,33.845825,91.390947,29.393985,2,5,5,2,1,2,4,3,2,5,5,4,3,1,5,5,5,5,3.51,Good,3,5,3,4,3,4,4,4,5,4,5,4,4,4,4.32,Good,0.81
35,SIN-ANN-0035,0.034346,0.185704,82.655011,7.40257,0.476835,0.080846,0.447073,0.642648,0.411939,437.506047,0.711426,0.434377,0.634756,0.238039,0.031484,25.121565,431.91337,18.693717,118.534161,47.746984,5,3,5,2,2,2,3,3,2,4,2,3,4,2,5,5,5,5,3.44,Average,5,5,4,4,5,4,3,4,3,4,4,4,5,3,4.46,Good,1.02
36,SIN-ANN-0036,0.472068,0.427414,72.357092,11.553739,0.626518,0.133511,0.450004,0.53832,0.438929,413.830955,0.3052,0.270971,0.450117,0.260723,0.490163,27.607735,89.982374,18.511313,72.026185,16.149942,3,2,5,2,1,3,2,3,2,1,3,2,3,2,2,5,4,5,2.77,Average,3,3,3,4,2,3,3,1,4,2,5,4,3,5,2.8,Average,0.03
37,SIN-ANN-0037,0.743979,0.310089,66.445269,11.894707,1.236566,0.146187,0.227949,0.42711,0.835807,1672.10112,0.388531,0.469192,0.562701,0.636,0.764022,23.156425,249.227221,12.987137,51.222744,16.654697,1,2,5,1,1,1,2,1,1,1,2,3,1,1,5,5,3,5,2.2,Below Average,1,3,2,1,2,2,1,2,1,2,2,1,1,1,1.66,Below Average,-0.54
38,SIN-ANN-0038,0.506454,0.654603,43.068021,14.654803,0.543676,0.164054,0.344419,0.519085,0.658667,497.802789,0.444826,0.418355,0.664569,0.373856,0.505712,31.206635,121.035597,31.527958,82.100883,6.005151,2,1,4,2,1,2,2,2,2,2,2,3,3,2,3,5,4,5,2.5,Below Average,3,2,3,2,3,3,3,2,3,3,3,3,2,2,2.61,Average,0.11
39,SIN-ANN-0039,0.055242,0.30766,79.048555,8.425759,0.571928,0.126502,0.277405,0.612259,0.677343,1230.179652,0.775825,0.295459,0.637547,0.25993,0.083627,24.468407,505.014645,22.596198,20,7.912655,5,2,5,2,1,1,3,2,1,4,3,3,3,1,5,5,1,5,2.96,Average,5,4,4,3,5,2,4,4,5,4,4,3,3,4,3.73,Good,0.77
40,SIN-ANN-0040,0.540453,0.568651,150.891371,14.373816,1.842604,0.129978,0.167461,0.279465,0.821437,720.240548,0.431669,0.50576,0.465414,0.531838,0.586635,26.331395,393.599662,16.6842,42.806424,2.230024,2,1,4,1,1,1,1,1,1,2,2,2,2,2,5,5,2,3,2.03,Below Average,3,2,1,2,3,1,1,1,2,2,2,2,1,1,1.58,Below Average,-0.45
41,SIN-ANN-0041,0.592567,0.711105,116.352781,18.20133,0.946448,0.214362,0.053808,0.438308,0.825787,1306.045443,0.282553,0.618348,0.310177,0.884059,0.587218,23.241818,232.103207,6.35417,150.68209,38.703431,2,1,4,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,2.04,Below Average,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1.01,Poor,-1.03
42,SIN-ANN-0042,0.622825,0.539238,76.957856,16.272966,0.793004,0.147799,0.216355,0.490921,0.600942,901.871294,0.442611,0.593015,0.472599,0.459547,0.60499,40.358041,396.167872,16.855272,68.976419,12.56055,2,1,4,1,1,1,2,2,1,2,1,2,2,3,5,5,4,5,2.28,Below Average,3,3,3,2,2,2,2,2,2,2,2,3,3,2,2.49,Below Average,0.21
43,SIN-ANN-0043,0.009132,0.26501,68.627802,7.322999,0.781248,0.085316,0.44644,0.760932,0.299609,25,0.8218,0.289233,0.886642,0.302594,0.036381,22.428664,30,35.405313,51.867026,25.395085,5,3,5,1,2,2,4,4,5,4,3,5,3,1,1,5,3,5,3.43,Average,5,4,5,4,5,5,4,4,5,5,5,5,5,4,4.5,Very Good,1.07
44,SIN-ANN-0044,0.373754,0.512291,60.431501,11.03754,1.230327,0.11304,0.460639,0.528008,0.45552,567.926529,0.888014,0.370903,0.365015,0.363136,0.359123,28.695257,688.22218,20.605593,20,18.743191,3,1,5,1,1,3,2,3,1,5,3,1,3,2,5,5,1,5,2.7,Average,4,4,4,4,4,5,3,5,5,3,3,4,4,4,3.51,Good,0.81
45,SIN-ANN-0045,0.694139,0.794932,99.652792,9.909377,1.252525,0.152639,0.135049,0.447487,0.591575,1409.604505,0.360041,0.631869,0.293701,0.576169,0.726499,20.552201,191.533487,10.757296,140.374036,6.343669,2,1,5,1,1,1,2,2,1,1,1,1,1,1,5,5,5,5,2.18,Below Average,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1.15,Poor,-1.03
46,SIN-ANN-0046,0.720948,0.945904,180.328943,15.970725,1.15873,0.134467,0.131848,0.304843,0.604726,1428.293626,0.287029,0.50329,0.441895,0.523705,0.683017,23.71915,55.056603,8.316583,71.839242,0.2,1,1,4,1,1,1,1,2,1,1,2,2,2,1,2,5,4,1,1.78,Poor,2,1,3,1,2,1,1,1,2,2,2,3,2,3,1.75,Below Average,-0.03
47,SIN-ANN-0047,0.967261,0.712901,122.678122,7.993613,0.751785,0.161168,0.212073,0.210536,0.623063,923.72346,0.419605,0.674267,0.402412,0.697219,0.930979,11.279547,30,30.0747,86.881332,10.73242,1,1,5,1,1,1,1,2,1,2,1,2,1,1,1,5,5,5,1.98,Below Average,1,2,3,2,1,1,1,2,1,1,1,2,2,3,1.87,Below Average,-0.11
48,SIN-ANN-0048,0.799234,0.539475,70.68747,15.685882,0.819776,0.195685,0.338584,0.248032,0.664973,1210.926763,0.606146,0.702789,0.341178,0.644083,0.794399,31.908904,157.265176,31.6114,101.534022,6.712189,1,1,4,1,1,2,1,2,1,3,1,1,1,2,4,5,5,5,2.1,Below Average,1,3,3,2,1,3,1,3,1,2,1,2,2,2,1.94,Below Average,-0.16
49,SIN-ANN-0049,0.500985,0.541646,59.873128,7.783493,0.927649,0.137027,0.271096,0.520787,0.526552,311.570816,0.817985,0.514889,0.445434,0.469213,0.460025,25.433481,507.63292,13.116429,34.909681,16.149503,2,1,5,1,1,1,2,2,3,4,2,2,2,2,5,5,1,5,2.46,Below Average,3,2,4,3,3,2,3,4,3,2,3,3,4,3,2.9,Average,0.44
50,SIN-ANN-0050,0.3527,0.563518,105.556447,7.564353,0.96444,0.126366,0.308345,0.518125,0.690814,1179.511445,0.403097,0.574683,0.504884,0.554026,0.414368,33.675161,564.610576,21.348733,90.256848,28.621786,3,1,5,1,1,2,2,2,1,2,1,2,1,2,5,5,5,5,2.46,Below Average,4,1,2,3,3,2,3,2,2,3,2,2,1,1,2.11,Below Average,-0.35
51,SIN-ANN-0051,0.480404,0.79231,108.504198,8.928972,1.298803,0.154362,0.30642,0.321286,0.783709,546.40922,0.448313,0.765609,0.449277,0.581034,0.47837,22.789046,30,16.798588,104.660394,0.2,3,1,5,1,1,2,1,1,1,2,1,2,1,1,1,5,5,1,2,Below Average,3,2,2,2,2,2,1,2,1,1,2,2,2,3,2.35,Below Average,0.35
52,SIN-ANN-0052,0.046936,0.014366,40.697848,4.530183,0.306078,0.080404,0.531812,0.76194,0.381665,225.967861,0.861574,0.22687,0.854628,0.253746,0.076462,19.265781,717.985897,19.504194,164.076514,28.133103,5,5,5,3,2,3,4,3,3,5,4,5,3,1,5,5,5,5,4.01,Good,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Very Good,0.99
53,SIN-ANN-0053,0.703644,0.740968,136.664542,14.478095,1.423513,0.171983,0.360988,0.332788,0.705084,896.548921,0.512796,0.554397,0.421059,0.638341,0.675063,17.861635,196.552667,23.079805,92.830973,1.36169,1,1,4,1,1,2,1,1,1,2,1,2,1,1,5,5,5,2,1.93,Below Average,1,2,2,2,2,2,1,2,3,2,2,1,3,2,2.22,Below Average,0.29
54,SIN-ANN-0054,0.6723,0.501621,130.144139,14.721898,1.515241,0.148836,0.342411,0.490954,0.847255,1289.227302,0.395295,0.582921,0.514739,0.81617,0.691834,26.061585,171.747259,7.88276,64.686145,48.53958,2,1,4,1,1,2,2,1,1,1,1,2,1,2,4,5,3,5,2.06,Below Average,1,2,2,3,2,3,2,2,2,2,1,2,2,2,2.11,Below Average,0.05
55,SIN-ANN-0055,0.303937,0.428797,79.477134,5.158599,0.717863,0.140312,0.305794,0.506856,0.74839,1030.033819,0.625377,0.402761,0.558795,0.484516,0.309731,35.290613,329.632504,9.19526,81.599337,16.414262,4,2,5,1,1,2,2,1,1,3,2,3,2,3,5,5,4,5,2.78,Average,3,3,3,4,3,3,3,3,3,3,2,2,3,2,2.99,Average,0.21
56,SIN-ANN-0056,0.403824,0.585902,128.924552,11.856534,1.454781,0.160348,0.221557,0.344639,0.842402,879.157237,0.252698,0.531782,0.602542,0.474482,0.38717,17.642726,758.102034,2,125.135884,6.650205,3,1,5,1,1,1,1,1,1,1,1,3,2,1,5,3,5,5,2.24,Below Average,2,2,2,1,3,2,2,1,3,2,2,2,2,2,1.82,Below Average,-0.42
57,SIN-ANN-0057,0.493718,0.737202,108.008784,22.15012,1.369215,0.159465,0.201137,0.328899,0.74951,1268.761234,0.4115,0.689066,0.250712,0.765754,0.525407,18.863015,214.289335,38.843166,98.90762,28.614783,3,1,3,1,1,1,1,1,1,2,1,1,1,1,5,5,5,5,2.04,Below Average,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1.3,Poor,-0.74
58,SIN-ANN-0058,0.294392,0.83363,129.927391,15.296714,0.887277,0.147611,0.310682,0.585841,0.8087,1195.561196,0.32599,0.396946,0.45826,0.590848,0.313397,33.688569,37.701706,23.753041,83.830617,0.2,4,1,4,1,1,2,3,1,1,1,2,2,1,2,1,5,4,1,2.1,Below Average,3,1,3,2,3,3,3,1,3,2,1,2,2,1,2.29,Below Average,0.19
59,SIN-ANN-0059,0.549374,0.717672,85.075662,16.622727,1.324538,0.146366,0.130799,0.29968,0.666954,1067.713693,0.299003,0.688671,0.357423,0.641204,0.557344,19.462636,370.848737,13.931883,108.883334,30.885649,2,1,4,1,1,1,1,2,1,1,1,1,1,1,5,5,5,5,2.04,Below Average,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1.49,Poor,-0.55
60,SIN-ANN-0060,0.834263,0.695449,196.27251,17.34244,1.208373,0.1823,0.186653,0.374975,0.721414,1175.157174,0.410773,0.657489,0.419927,0.664119,0.851808,15.487628,20.441708,8.60677,61.197872,2.271836,1,1,4,1,1,1,1,1,1,2,1,2,1,1,1,5,3,3,1.68,Poor,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1.49,Poor,-0.19
61,SIN-ANN-0061,0.819201,0.62384,96.361628,12.371746,1.683598,0.118951,0.085071,0.487878,0.762249,1288.399766,0.348512,0.551358,0.279123,0.62569,0.888819,25.579856,271.03049,2,121.631434,1.009753,1,1,4,1,1,1,2,1,1,1,1,1,1,2,5,3,5,2,1.79,Poor,1,2,1,3,3,1,3,1,2,1,1,2,2,1,1.8,Below Average,0.01
62,SIN-ANN-0062,0.192234,0.292717,69.148582,8.075343,1.203198,0.127283,0.188619,0.419172,0.596976,564.821643,0.382622,0.480087,0.524855,0.450908,0.098424,25.438808,115.033074,32.083396,163.145318,9.027811,5,3,5,1,1,1,2,2,1,1,2,2,2,2,3,5,5,5,2.72,Average,4,4,3,4,4,2,2,2,2,3,3,3,4,4,3.14,Average,0.42
63,SIN-ANN-0063,0.617384,0.705824,93.850735,10.410857,1.19084,0.141515,0.200439,0.407219,0.676729,1182.195419,0.53046,0.638486,0.466034,0.298098,0.617235,17.361754,21.654332,8.849244,45.829507,0,2,1,5,1,1,1,2,2,1,2,1,2,3,1,1,5,2,1,1.94,Below Average,2,2,2,3,3,1,2,2,2,2,5,2,3,2,2.15,Below Average,0.21
64,SIN-ANN-0064,0.805752,0.746434,53.673565,16.612115,1.353411,0.168044,0.242285,0.322846,0.848053,1094.177817,0.483782,0.6439,0.386851,0.609147,0.814959,21.30963,366.631222,25.705852,86.634748,26.709873,1,1,4,1,1,1,1,1,1,2,1,1,1,1,5,5,5,5,1.95,Below Average,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1.32,Poor,-0.63
65,SIN-ANN-0065,0.06286,0.056015,67.952571,10.30596,0.623538,0.083503,0.569608,0.788164,0.35027,25,0.767852,0.117356,0.634078,0.284348,0.033647,24.502982,691.101418,35.109915,92.567609,11.706216,5,5,5,2,2,3,4,3,5,4,5,3,3,1,5,5,5,5,3.93,Good,5,5,5,4,5,5,4,5,5,4,5,5,5,5,4.81,Very Good,0.88
66,SIN-ANN-0066,0.750377,0.674292,18.541308,14.799294,0.896953,0.230393,0.253158,0.312618,0.803593,736.630257,0.333466,0.651764,0.335499,0.506836,0.723134,18.371012,449.407816,12.026255,20,38.517538,1,1,4,1,1,1,1,1,1,1,1,1,2,1,5,5,1,5,1.79,Poor,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1.08,Poor,-0.71
