child_id,spacing_std,baseline_std,local_baseline_drift,avg_slant,avg_size_variation,curve_smoothness,loop_roundness,stroke_continuity,stroke_thickness_consistency,density_distribution,contrast_score,blur_score,ink_density,text_visibility_score,word_detection_ratio,spacing_score,alignment_score,slant_score,size_score,curve_score,loop_score,continuity_score,thickness_score,density_score,contrast_quality_score,blur_quality_score,ink_density_score,text_visibility_quality_score,word_detection_score,overall_score,label,teacher_spacing_rating,teacher_alignment_rating,teacher_size_rating,teacher_slant_rating,teacher_curve_rating,teacher_loop_rating,teacher_stroke_continuity_rating,teacher_legibility_rating,teacher_overall_rating,teacher_overall_label,teacher_vs_system_score_difference
011,0,0.8441712416057863,71.93231773928768,0.4750033291903409,0.9714152653397472,0.1972328403655184,0.3943976894064074,0.465366566,0.6126944618937701,1346.8828821204504,29.120303468763236,834.4490583363216,14.226010602036975,87.23818354049254,26.630813568979377,5,1,5,1,1,2,2,2,1,2,5,5,5,5,2.93,Average,3,3,3,3,2,2,3,3,3,Average,0.07
012,0.3464373464373464,0.5189233261860763,77.53985223,0.3633895874023437,0.9762739961879058,0.2007476113090465,0.3949127548721509,0.4377745802427779,0.6163656538177339,1439.630875920369,24.26948086667625,639.0193334502037,11.28125068164892,75.97849247828489,65.08648761502339,4,1,5,1,1,2,2,2,1,1,5,5,4,5,2.71,Average,4,1,2,4,3,2,3,3,3,Average,0.29
013,0,0.78,0,20.753795623779297,0.7537654462802729,0.278501889,0.5202066290901839,0.3802228088525842,0.6135836228905682,4030.515424326261,30.5188985,999.4546904810318,14.191677865711014,87.83448285,45.07490916330696,5,1,3,1,1,3,1,2,1,2,5,5,5,5,2.71,Average,4,2,2,4,1,4,2,3,3,Average,0.29
014,0,0.1289719626168224,0,0.7955703735351562,0,0.136251186,0.1879803277791756,0.8957672332389046,0.3837513492018273,200.2569467050169,33.56334288973405,964.6718884110824,19.261020584190035,104.56473319743714,0.5189174068116652,5,4,5,5,1,1,5,3,3,2,5,5,5,1,3.82,Good,5,4,4,5,3,4,5,4,4,Good,0.18
015,0,0.8946338358400268,0,1.5343039830525715,1.1715218652387025,0.1630580302074636,0.2709706895547432,0.6445548976563772,0.5685423772687832,232.68124557184845,31.880369886431264,778.4426616325319,19.97159647155452,105.85497435787916,2.323075514734489,5,1,5,1,1,1,3,2,3,2,5,5,5,3,2.95,Average,4,2,3,3,1,3,3,4,3,Average,0.05
016,0,0.4102564102564102,0,0,0,0.1437515675457497,0.1493873817934235,0.7385581509298178,0.2869008653516425,161.12320174800823,34.28781682223203,843.1118695,24.26892710430586,119.9506897240336,0.3785207128414915,5,2,5,5,1,1,4,4,4,2,5,5,5,1,3.65,Good,4,3,4,5,3,3,4,4,4,Good,0.35
017,0,0,0,0,0,0,0,0,0,0,32.184712871572415,846.1201590968635,20.577739695386757,107.82557552194646,0,5,5,5,5,5,1,1,5,5,2,5,5,5,1,4.17,Very Good,5,5,4,5,4,3,4,3,4,Good,-0.17
018,0,0.6085512455975506,0,2.3014559745788574,1.1340940078939936,0.2119388469387394,0.2900740798093941,0.5405260634243154,0.628351872,262.35975723585244,30.894850210123167,737.4788911,18.166041964737435,99.94555099927388,3.166395569603038,5,1,5,1,1,1,2,2,3,2,5,5,5,4,2.94,Average,4,2,2,4,2,2,2,3,2,Below Average,-0.94
019,0,0.6582879897229933,0,15.748724619547524,0.8852067346892025,0.07882902,0.2126798695352889,0.6386576019403553,0.5152307817466879,212.3075305764875,17.72371285058978,453.6586359967545,13.645261835876523,79.79764193292445,1.381572591511626,5,1,4,1,2,1,3,2,3,1,5,5,4,2,2.73,Average,3,3,2,4,2,2,2,3,3,Average,0.27
020,0,0.803644242,170,0.7628143310546875,0.7928543065612559,0.1915695309582278,0.4440960682101437,0.3764767803116272,0.5898762812898983,3127.3264365866758,32.54630782547371,877.6843980559147,17.81710723,99.72447560621386,38.21585370816927,5,1,5,1,1,2,1,2,1,2,5,5,5,5,2.87,Average,3,2,3,4,2,3,1,3,3,Average,0.13
021,0,1.294480438483523,0,0,0.45591767,0.057047552,0.2191363633646265,0.6774511224793138,0.5748118147781707,128.79774882443144,20.66404947239187,161.54506355418738,29.527868502182475,115.0701365981621,0.5282576844418668,5,1,5,2,3,1,3,2,4,1,4,5,5,1,3.06,Above Average,4,3,2,4,3,3,3,3,3,Average,-0.06
022,0,0,0,0,0,0.1822759224795965,0.1724766871378998,0.4903225806451612,0.2625782593404686,40.18568014714805,21.33809282193311,558.299071,21.30423163045819,104.58174130234111,0.045406544,5,5,5,5,1,1,2,4,5,1,5,5,5,1,3.88,Good,4,4,4,5,3,3,4,4,4,Good,0.12
023,0,0,0,0,0,0,0,0,0,0,21.639062751554807,626.0186074966202,25.612432787367013,117.65682973787844,0,5,5,5,5,5,1,1,5,5,1,5,5,5,1,4.12,Very Good,5,5,5,5,5,4,4,3,5,Very Good,0.88
024,0.9563826411531684,0.515264639,130.03026769491103,2.142754304668178,1.254448651700458,0.1840567198108417,0.4296617858478748,0.5470544768412168,0.6128710562465509,1606.9322547637744,31.359002393160303,1041.2375330111097,8.899050947653315,72.37665404,83.30369929463357,1,1,5,1,1,2,2,2,1,2,5,5,4,5,2.42,Below Average,1,2,1,3,2,2,2,3,1,Poor,-1.42
025,0,0.9586080781350456,0,1.628082275390625,0.435806094,0.2052441792663922,0.4247557587947964,0.6177894350352433,0.5122161241972645,154.15460258156344,18.78661074814103,348.07155794750946,17.564283135623814,92.08615478094195,0.2947210795804117,5,1,5,3,1,2,3,2,4,1,5,5,5,1,3.15,Above Average,4,3,2,4,3,4,4,4,3,Average,-0.15
026,0.077966102,0.545278242,70.5447317,0.8162450194358826,0.9115945772984424,0.1748768318130632,0.3915828585906757,0.483974157,0.5935122012188957,592.3592295295182,19.264201601776428,214.35002421494644,13.000913179288382,70.06984276024801,24.12472146759867,5,1,5,1,1,2,2,2,1,1,5,5,4,5,2.82,Average,4,2,3,4,3,3,3,3,3,Average,0.18
027,0,0.5762135938560375,29.25,0.7288473198811213,0.4685776096593428,0.1969273593726315,0.4035586869939043,0.5433110377085066,0.47749458,426.8855631710134,21.18184228371956,250.03084371527493,14.272222559515376,78.41067319,10.212899439418775,5,1,5,2,1,2,2,3,2,1,5,5,4,5,3.05,Above Average,4,2,3,4,2,4,3,4,3,Average,-0.05
028,0.8994197292069632,0.5139010685100094,152.07074334811765,0.9102401733398438,1.7631666433290736,0.1638757180598442,0.3990437055439446,0.426075139,0.7224370869213156,823.7449058496262,16.106013548443446,171.4842161,11.933763456808434,61.00271875027202,76.67677086037055,1,1,5,1,1,2,2,1,1,1,4,5,3,5,2.21,Below Average,2,2,1,4,1,2,2,2,2,Below Average,-0.21
029,0,0,0,0,0,0,0,0,0,0,25.57686148899528,425.4424083339499,30.54249644,134.41592007796822,0,5,5,5,5,5,1,1,5,5,2,5,5,5,1,4.17,Very Good,4,5,4,5,5,4,3,4,5,Very Good,0.83
030,0,0.7152681094269808,0,9.572480774,0.2157686780999031,0.2210884586940568,0.3123092956918214,0.6806385954597114,0.5458252665567143,112.15292909705286,22.593070852699448,524.1507616580445,19.92740351841112,101.07874598158308,0.3336029628725212,5,1,5,4,1,2,3,2,4,1,5,5,5,1,3.26,Above Average,4,3,4,4,3,3,3,3,3,Average,-0.26
031,0,0.9586080781350456,0,1.628082275390625,0.435806094,0.2052441792663922,0.4247557587947964,0.6177894350352433,0.5122161241972645,154.15460258156344,18.78661074814103,348.07155794750946,17.564283135623814,92.08615478094195,0.2947210795804117,5,1,5,3,1,2,3,2,4,1,5,5,5,1,3.15,Above Average,4,3,3,4,3,3,3,4,3,Average,-0.15
032,0,0,0,4.398704528808594,0.1496662954709576,0.1373680787545731,0.1099554052021131,0.366504854,0.2123269909131478,89.00312104390248,18.675733841769624,339.9220984763318,16.77465444503286,89.66183025598339,0.2926865676946534,5,5,5,5,1,1,1,4,5,1,5,5,5,1,3.82,Good,4,3,5,5,3,3,3,5,4,Good,0.18
033,0,0.5545657015590201,0,0.2427711486816406,0.337268439,0.2281381870921047,0.5912299728143432,0.7027265429975214,0.4908801921298803,196.1284063,17.986832261641993,325.7256613901769,18.953359896419787,95.85349582008035,0.3942271433958383,5,1,5,3,1,3,4,3,4,1,5,5,5,1,3.32,Above Average,4,3,3,4,2,4,3,3,3,Average,-0.32
034,0,1.0679199417277794,0,2.28254509,0.2338259100549332,0.1742656945219726,0.3612815257536787,0.64755723,0.5101648480458784,106.61290971323382,31.663431044751004,866.2561692689487,14.086612531715726,88.09155311752268,0.8041430016932003,5,1,5,4,1,2,3,2,4,2,5,5,5,2,3.36,Above Average,3,3,3,4,3,2,4,3,3,Average,-0.36
035,0,0.8980820226726235,168,2.0831694155931477,0.7214992815952177,0.2251234249990552,0.5016607270945863,0.3873168819619613,0.5670749283547994,2925.194217484829,29.669744051472247,1668.7027519518058,18.95427703857422,101.6977031414588,41.28150939941406,5,1,5,1,1,3,1,2,1,2,5,5,5,5,2.93,Average,3,3,2,4,2,4,2,3,3,Average,0.07
036,0,0,0,5.273895740509033,0.2107975992548699,0.2096083551192538,0.5402596497571833,0.5072347266881029,0.3350619653370632,290.56534931443946,29.91491557,1628.8677916346558,21.376877422480614,109.08809005262115,0.6056201550387598,5,5,5,4,1,3,2,4,3,2,5,5,5,1,3.82,Good,4,4,5,4,4,3,3,3,4,Good,0.18
037,0,0.5227197515316827,103,1.5402552485466003,0.7166004901277427,0.2112781639751206,0.4989067299407571,0.3355109316123252,0.5375934439073871,2285.5840531825866,27.447670469102817,1412.671425117714,14.790649414062502,88.09578347673892,76.18265787760417,5,1,5,1,1,3,1,2,1,2,5,5,5,5,2.93,Average,3,3,2,3,2,3,3,5,3,Average,0.07
038,0,0.3939393939393939,0,0,0,0.1433376834027352,0.1512556493130771,0.716105102,0.2793312176852958,143.97656344182144,34.046925690392285,841.4562454990795,24.09373918,119.30468037313796,0.3936775054700898,5,2,5,5,1,1,4,4,4,2,5,5,5,1,3.65,Good,5,3,4,4,3,3,4,4,4,Good,0.35
039,0.6692472486558555,0.6383995071172817,162.87268712120596,2.278973088377998,1.2847371787994073,0.1816553571412183,0.4305069910512804,0.5693462048494562,0.6338857123667591,865.2144281584755,22.69631768794737,406.6937321781793,9.615034936135851,70.19326365238125,59.96185317286235,2,1,5,1,1,2,3,2,1,1,5,5,4,5,2.54,Average,3,2,3,4,2,2,3,3,3,Average,0.46
040,0,0.3636363636363636,0,3.183484912,0.047619048,0.040868377,0.024074981,0.725852967,0.05794377,62.91975519819828,33.68452355774063,868.8122781620142,22.46911045856056,114.2495932,0.4862890005563539,5,2,5,5,4,1,4,5,5,2,5,5,5,1,3.95,Good,5,4,4,4,4,3,4,4,4,Good,0.05
041,0,0,0,2.436645508,0,0.2461950563508595,0.061818116,0.9092741935483872,0.3189341834791111,125.69097908052996,23.581022675858257,495.4424190178543,21.65923197599072,106.7682072659013,0.1997135256803765,5,5,5,5,1,1,5,4,4,1,5,5,5,1,4,Very Good,4,5,5,4,4,3,3,4,5,Very Good,1
042,0,0.6085512455975506,0,2.3014559745788574,1.1340940078939936,0.2119388469387394,0.2900740798093941,0.5405260634243154,0.628351872,262.35975723585244,30.716458246137705,705.6126708642868,18.04962462755507,99.50710300573404,4.543893204262462,5,1,5,1,1,1,2,2,3,2,5,5,5,5,2.99,Average,4,2,1,4,2,3,3,3,2,Below Average,-0.99
043,0.8232690539869203,0.4245884892399366,53.67816529842997,7.921761773148989,1.398852036819927,0.102335347,0.2017303815757503,0.5936550720594798,0.653465965,383.1224098,17.318961568762365,7.663395732698198,2.9503836039624183,18.276971169538257,20.754043479370917,1,2,5,1,1,1,3,2,2,1,1,4,1,5,2.15,Below Average,1,2,2,3,3,1,2,3,2,Below Average,-0.15
044,0.8390872314145419,0.520623891,37.571047060572674,5.567474513121371,1.222956000627602,0.1334123512001158,0.3211178043838294,0.4685767286304651,0.6802480608157848,1743.283545615089,15.265407476206375,6.2490972965663785,13.017494171582571,47.31009598250754,38.45410747341021,1,1,5,1,1,2,2,2,1,1,1,5,2,5,2.09,Below Average,2,2,2,4,1,2,2,2,2,Below Average,-0.09
045,0.7710254563288641,0.5528917240973132,60.855242502943405,8.718630151521593,0.9563557926565024,0.1032582503746866,0.2784407211509802,0.6584826866723353,0.7081400717059753,1574.0148529153023,17.94440645578595,6.644640837426891,8.520737447927129,35.19887965541705,33.16239088271262,1,1,5,1,1,1,3,1,1,1,1,5,2,5,2.03,Below Average,2,2,1,3,2,2,2,3,2,Below Average,-0.03
046,0.7156119945761378,0.7244400437479169,154.57774030738574,5.846015192498671,2.7215653930057697,0.1246322486234886,0.3201727239349109,0.6987068311136319,0.8287403160940277,298.52739798085344,21.18144315351864,5.667663481670909,3.365909352022059,21.25521598099259,48.40845045700572,1,1,5,1,1,2,3,1,3,1,1,4,1,5,2.1,Below Average,2,1,2,3,1,2,2,2,2,Below Average,-0.1
047,0.9323583252597843,0.633473668,52.75483537042242,8.205525066130436,1.8731774115037267,0.1047670275149028,0.2111326219588968,0.6323755452203571,0.8591312247465593,388.9296412222512,28.46131968325905,5.873030428631485,4.290827333537582,27.69044488510542,32.82048643024918,1,1,5,1,1,1,3,1,2,2,1,5,1,5,2.08,Below Average,2,2,2,3,2,2,3,2,2,Below Average,-0.08
048,0.7069482073317237,0.6863214143198981,319.9070316,3.9511742715405513,3.3203060971049347,0.093863096,0.2966128072293587,0.6983382472299363,0.8817543691720695,922.5197109309108,15.824729044805467,6.403283986857777,5.436812257455066,24.863129693453708,81.27856285743465,1,1,5,1,2,1,3,1,1,1,1,5,1,5,2.03,Below Average,2,2,2,3,2,2,3,2,2,Below Average,-0.03
049,1.1236515130073812,0.4003536374661421,231.3372511954529,8.463123482882336,2.526186149182956,0.1018917989853118,0.293803595,0.6276808713207406,0.8273259000188685,762.5324694293583,17.85715883,6.351903699150996,5.018988715277778,24.62073592852933,85.19237642973856,1,2,5,1,1,1,3,1,1,1,1,5,1,5,2.08,Below Average,1,3,1,3,2,2,3,2,2,Below Average,-0.08
050,0.8394362142950813,0.5231344271141211,62.63912182865221,5.510644618723844,1.2082033210131735,0.1180191666536933,0.2951652348859203,0.5381806267675615,0.6896717634395793,1027.8197199434503,16.260329407439485,6.920151167079971,7.904156454248366,32.53464918317284,35.85154813878677,1,1,5,1,1,1,2,2,1,1,1,5,1,5,1.97,Poor,1,1,1,2,1,1,1,2,2,Below Average,0.03
051,0.714586807,0.8005163257162478,223.2537116097193,6.714078820516578,3.91140448,0.1112810411316415,0.3242717989920935,0.7138179332753397,0.7454874695918544,1447.1740635953329,42.32852605,13.092262656814246,11.68121138,57.51712344299558,89.91211735345179,1,1,5,1,1,2,4,1,1,3,1,5,3,5,2.31,Below Average,2,3,2,3,2,2,2,3,3,Average,0.69
052,0.7209151084443656,0.2583452951898037,82.01272704107751,5.592325325883352,1.372036036328648,0.1133680845198625,0.2430798525681912,0.648240674,0.7673395013517339,406.3797040637456,14.639656678202725,6.199741168099739,4.766582414215686,22.239549698558395,28.322682100183822,1,3,5,1,1,1,3,1,2,1,1,5,1,5,2.25,Below Average,2,2,1,3,1,1,3,2,2,Below Average,-0.25
053,0.7655923120577353,0.5643185902745131,98.54275271,8.175391674542627,1.376368386154782,0.1111833112616789,0.3631806746875303,0.6343621192002866,0.6829964907478756,1867.4566694897624,15.191534120607562,9.075346814925032,7.558019301470588,31.177359646208046,40.63335343903186,1,1,5,1,1,2,3,2,1,1,1,5,1,5,2.09,Below Average,2,2,2,3,2,3,2,2,2,Below Average,-0.09
054,0.9772939188306924,0.3352670061674104,169.1359921898389,8.021436575055123,2.796484603430239,0.1279759674138186,0.2516525304516843,0.611205363,0.9009573869119776,2158.15591,13.88492213585101,14.464682885139364,5.465686274509804,24.785988179968854,104.10966062857436,1,2,5,1,1,1,3,1,1,1,1,5,1,5,2.08,Below Average,1,1,1,3,1,1,3,2,3,Average,0.92
055,1.3936979203671744,0.7158721250102167,294.07353272022203,5.884802084851574,2.124233647014092,0.1080245879384101,0.3464139731035331,0.6878941327037129,0.7784232592624025,3085.8291482417726,16.31514863599514,7.753868106194623,13.939903109681373,50.75267045766115,112.0114075903799,1,1,5,1,1,2,3,1,1,1,1,5,3,5,2.15,Below Average,1,1,1,4,2,2,2,2,2,Below Average,-0.15
056,0.9246937311004532,0.5830128700516781,81.77472324294887,7.410279839477014,2.1367462063186062,0.1143209325360046,0.2544104638777429,0.5920197775711329,0.7421743536118363,1142.7473075071132,24.107036414676777,6.67645428,6.901456546160131,33.42553327382702,37.78819763582516,1,1,5,1,1,1,3,1,1,1,1,5,1,5,1.97,Poor,1,1,1,3,1,1,2,2,1,Poor,-0.97
057,1.0355570908795853,0.811005636,298.16469768137887,8.194659141088845,2.349383313609231,0.098971281,0.3311939683269598,0.7163498418535501,0.7799228378968145,2345.4355123601745,13.67389294193389,13.488826088795737,12.64172123927696,46.1109928,82.53169838899102,1,1,5,1,2,2,4,1,1,1,1,5,2,5,2.21,Below Average,3,2,2,3,1,2,2,2,3,Average,0.79
058,0.8500265454151631,0.4356476154861416,21.41417986608816,8.144877537,0.9278773337694316,0.1001259753254595,0.2063797025869604,0.6241299381794683,0.7707596571201153,369.0213358915061,14.740019472536286,5.477453435596001,2.877548317504085,16.550400032339997,12.803731681474671,1,2,5,1,1,1,3,1,2,1,1,4,1,5,2.09,Below Average,2,2,1,3,1,1,2,2,2,Below Average,-0.09
059,0.6867542939257224,0.61113837,104.9942561,9.430015259023223,1.9576940177555544,0.099618586,0.2729925361244578,0.6474565677414511,0.7500013200650266,1381.008320888163,12.515773727172435,9.463342910067237,5.599780113868464,24.003561496198337,46.74770380157271,2,1,5,1,2,1,3,1,1,1,1,5,1,5,2.14,Below Average,1,1,1,2,2,2,3,3,2,Below Average,-0.14
060,1.3510125002247264,0.5823813509410559,54.53703825587714,8.031646603887731,0.9954794689884984,0.099768064,0.2644899933699809,0.6246360953275343,0.738815776,1216.0001156859396,13.634026775905236,6.046788345477482,3.9106939976511432,19.153774215453797,16.943526922487745,1,1,5,1,2,1,3,1,1,1,1,5,1,5,2.03,Below Average,2,1,1,2,2,2,2,3,2,Below Average,-0.03
061,1.0767655226201895,0.8898911983377078,269.59969209036075,7.855372573503039,3.435455546,0.1291552183297353,0.3224910524211017,0.6785502614312611,0.7437522512378091,983.5147557837256,24.71545279,6.422820992392172,5.874095243566177,30.622294226836942,64.85544641033498,1,1,5,1,1,2,3,1,1,1,1,5,1,5,2.03,Below Average,2,2,2,3,1,2,2,2,2,Below Average,-0.03
062,1.104204853568982,0.5940663943393918,82.36625353848399,10.157348458691844,1.8136466300582132,0.096618126,0.2354721329367625,0.6191895093357364,0.6894681324036765,730.5513985640717,17.661064011230113,8.326106822358232,3.827821819,21.146608144345976,23.004078584558822,1,1,5,1,2,1,3,2,1,1,1,5,1,5,2.09,Below Average,2,2,2,2,3,1,2,2,2,Below Average,-0.09
063,0.9476740370031864,0.5848255013828737,88.45878907060597,6.654959670350522,1.1701518221336498,0.1034674843114584,0.2983322621404626,0.5832982882616037,0.6585647334148639,1194.271251077986,15.12684054602156,20.38532768949367,7.279611226000816,31.440786719962595,43.09052510978349,1,1,5,1,1,1,3,2,1,1,1,5,1,5,2.03,Below Average,2,2,2,3,2,2,2,3,2,Below Average,-0.03
064,1.020471287119703,0.4695740983582868,64.71680374567151,6.236352422219865,1.0811067212599068,0.1296822128602756,0.2927076676363331,0.6199086075748022,0.7477596500078945,866.5147262264398,15.185852509786429,13.006288515730844,3.6892760033700975,19.96138311657659,16.50737687653186,1,1,5,1,1,1,3,1,1,1,1,5,1,5,1.97,Poor,1,1,1,3,2,1,3,2,1,Poor,-0.97
065,0.9806833551742404,0.7578967178369577,23.947608840412435,7.580123181309965,0.848425691,0.1126505700475897,0.2311696627762845,0.6111522401280984,0.7173221727433977,433.3616603,14.41456143,5.023627643768508,3.593566496,18.49034296679573,14.749181410845589,1,1,5,1,1,1,3,1,2,1,1,5,1,5,2.03,Below Average,2,1,1,3,1,2,3,2,1,Poor,-1.03
066,1.0900960452751975,0.6632422716358738,33.12016200805777,9.119191598735355,0.9185245201524318,0.1201847616446811,0.2626354041452225,0.6239900574507212,0.7162856748448143,731.1883406760975,16.592866857451973,6.287066547736399,5.021837022569445,23.990651151207963,21.379793453839863,1,1,5,1,1,1,3,1,1,1,1,5,1,5,1.97,Poor,1,1,2,3,1,1,1,2,2,Below Average,0.03
067,0.9870728336169126,0.5902059982624099,24.979051742443342,9.322004340851128,0.9228274541078912,0.118826446,0.2334366121176486,0.648206029,0.7344962472057012,551.3918506991365,16.93994927149122,7.525671427981389,4.480993732128268,22.66552297492855,18.802785437091504,1,1,5,1,1,1,3,1,1,1,1,5,1,5,1.97,Poor,1,1,1,3,1,1,1,2,1,Poor,-0.97
068,0.9151301015251232,0.6081168747364238,36.55177323208963,8.372408352283218,0.982369992,0.1237435111298564,0.2475713788535255,0.6283454018079178,0.7565084255384836,755.6178212621147,17.63880304918293,5.612343600464299,4.944908790339053,24.21536225565505,21.59329682393791,1,1,5,1,1,1,3,1,1,1,1,5,1,5,1.97,Poor,1,2,2,3,2,1,2,2,1,Poor,-0.97
069,0.6333050948035158,0.8428881737450123,358.5852672077054,5.653814459148841,2.724008464112452,0.107397543,0.2769452453277993,0.7193261857178306,0.8660659739141976,822.4871839268948,19.930306980490958,10.344944578702512,6.2303650301266345,29.690743038495636,98.29205282373366,2,1,5,1,1,1,4,1,1,1,1,5,1,5,2.14,Below Average,2,1,2,3,2,2,3,2,2,Below Average,-0.14
070,0.8979591516758336,0.4366619987925204,106.85778106213222,7.058027304939388,1.9701339484539528,0.111699565,0.2253169042523548,0.6088605001856221,0.7766761275117816,1234.296963347959,12.731101236518638,5.687992104743362,4.676633348651961,20.96424987468954,53.04701063368056,1,2,5,1,1,1,3,1,1,1,1,5,1,5,2.08,Below Average,1,2,2,3,2,2,3,3,2,Below Average,-0.08
071,0.8185109566238697,0.3964656446002723,188.968071,5.922861199965121,3.148511646452504,0.1062210798470458,0.2653304949457082,0.6525547897964681,0.6614331108527699,734.8571143734218,10.640222265210706,6.345634333077513,6.082819521037582,24.20313312902585,52.15263416564543,1,2,5,1,1,1,3,2,1,1,1,5,1,5,2.14,Below Average,1,2,2,3,1,1,2,3,2,Below Average,-0.14
072,0.7749287396215082,0.5398436863884427,50.92539079867348,7.553515703231096,1.6182315497928417,0.1262644337416405,0.2176856728838963,0.5662488968384145,0.6974497883505802,723.3435793379135,12.303428293375523,6.377290579778579,5.028163934844772,21.873935009199933,50.23111979166666,1,1,5,1,1,1,3,2,1,1,1,5,1,5,2.03,Below Average,2,2,2,2,2,1,3,3,2,Below Average,-0.03
073,0.8072018296080742,0.4504874371371865,24.89197266090592,9.605039011309112,0.761520166,0.1127789413216885,0.2172090629930128,0.6654747703728605,0.6746046792733965,238.60380668931103,13.963650772851574,5.7176507974527455,2.310120826,14.48395294319312,13.393379161560455,1,1,5,1,1,1,3,2,3,1,1,3,1,5,2.05,Below Average,2,1,2,3,2,2,2,2,2,Below Average,-0.05
074,0.9698121995623572,0.3886087656423911,21.525342687466207,5.900291653253414,1.0853712383006102,0.1091902603053847,0.2199912126464601,0.6158146130539603,0.7581202128964133,430.4876752173112,12.14623391342936,5.722710263184909,2.346502565870098,13.684895680643464,11.47894167432598,1,2,5,1,1,1,3,1,2,1,1,3,1,5,2.04,Below Average,1,2,1,3,2,2,3,2,2,Below Average,-0.04
