theme,type,grammar_focus,text
පවුල,clean_sentence,general,අම්මා උදෑසන අපට රසවත් ආහාරයක් සකස් කරයි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි එකිනෙකාට උදව් කරමු.
කියවීම,clean_sentence,general,මම සෑම දිනකම කතා පොතක් කියවමි.
ලිවීම,clean_sentence,general,මම අද දිනපොතේ සටහනක් ලීවෙමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි ගී ගයමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,මිතුරෝ බලති.
ප්‍රජාව,clean_sentence,general,හොඳ පුරවැසියෙකු ලෙස වගකීමෙන් කටයුතු කළ යුතුය.
පාසල,clean_sentence,general,පාසලේ ගස්වලට අපි ජලය දමමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි චිත්‍ර අඳිමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,ළමයි හෙට පාසල් උත්සවයට සහභාගි වෙති.
මිත්‍රත්වය,clean_sentence,general,අපි සෙල්ලම් කරන විට නීති පිළිපදිමු.
පාසල,clean_sentence,general,මම අද පාසලේදී අලුත් කවියක් ඉගෙන ගත්තෙමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,ළමයා පොත කියවයි.
සෞඛ්‍යය,clean_sentence,general,සෞඛ්‍යය සඳහා පිරිසිදු ආහාර ගැනීම වැදගත්ය.
පාසල,clean_sentence,general,අපි විවේක කාලයේදී ක්‍රීඩා පිටියේ සෙල්ලම් කරමු.
පවුල,clean_sentence,general,අපේ පවුලේ සියලු දෙනා එකිනෙකාට ආදරය කරති.
විනෝදය_කලාව,clean_sentence,general,අපි පාසල් වේදිකාවේ නාට්‍යයක් ඉදිරිපත් කළෙමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,අපි නිවාඩුවේදී ආච්චිගේ නිවසට යමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම ගසට ජලය දමමි.
භාෂා භාවිතය,clean_sentence,ප්‍රශ්න_වාක්‍ය,ඔබට කැමතිම ක්‍රීඩාව කුමක්ද?
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි ගස් රැකබලා ගනිමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,ගුරුවරිය කතාවක් කියයි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි එකිනෙකාට උදව් කරමු.
පාසල,clean_sentence,general,සිසුහු පන්ති කාමරය පිරිසිදුව තබති.
භාෂා භාවිතය,clean_sentence,විධාන_වාක්‍ය,පන්ති කාමරය පිරිසිදුව තබන්න.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි පොත් කියවමු.
ප්‍රජාව,clean_sentence,general,අපි ගමේ පාර පිරිසිදු කළෙමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,ගුරුවරයා ගීයක් ගයයි.
භාෂා භාවිතය,clean_sentence,විධාන_වාක්‍ය,පොත් පිළිවෙළට තබන්න.
භාෂා භාවිතය,clean_sentence,ප්‍රශ්න_වාක්‍ය,අපි ගසක් සිටුවන්නේ කොහේද?
ලිවීම,clean_sentence,general,නිවැරදි අක්ෂර වින්‍යාසය භාවිත කිරීම වැදගත්ය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,රවිඳු ක්‍රීඩා කළේය.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි සටහන් ලියමු.
විනෝදය_කලාව,clean_sentence,general,නිර්මාණාත්මක වැඩවලට ළමයි කැමතියි.
කියවීම,clean_sentence,general,ළමයි පොත් හුවමාරු කරගෙන කියවති.
පවුල,clean_sentence,general,මගේ අයියා පොත් කියවීමට කැමතියි.
විනෝදය_කලාව,clean_sentence,general,කලා කටයුතු මඟින් අපගේ අදහස් ප්‍රකාශ කළ හැකිය.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි සටහන් ලියමු.
සෞඛ්‍යය,clean_sentence,general,පලතුරු සහ එළවළු ආහාරයට ගැනීම හොඳ පුරුද්දකි.
කියවීම,clean_sentence,general,මම කියවූ කතාව මගේ මිතුරාට පැවසුවෙමි.
පාසල,clean_sentence,general,අපේ පාසලේ විශාල පුස්තකාලයක් තිබේ.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි පන්ති කාමරය පිරිසිදු කරමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි ගුරුවරියට සවන් දෙමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි සටහන් ලියමු.
කියවීම,clean_sentence,general,ගුරුවරිය අපට නිවැරදිව කියවීමට මඟ පෙන්වයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම පන්ති කාමරය පිරිසිදු කරමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි චිත්‍ර අඳිමු.
ප්‍රජාව,clean_sentence,general,ප්‍රජාවේ සෑම දෙනාම වගකීමෙන් කටයුතු කළ යුතුය.
කියවීම,clean_sentence,general,අපි කතාවක් කියවා එහි අදහස සාකච්ඡා කළෙමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි එකිනෙකාට උදව් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම චිත්‍රයක් අඳිමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,සඳුනි පොතක් කියවීය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම ගීයක් ගයමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,පිරිමි ළමයි පිරිසිදු කරති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි සටහන් ලියමු.
පවුල,clean_context,වාක්‍ය සම්බන්ධ කිරීම,නිවාඩු දිනයේදී අපි ආච්චිගේ නිවසට ගියෙමු. ඇය අපට රසවත් කතාවක් කීවාය.
කියවීම,clean_sentence,general,කියවීමෙන් අපට අලුත් දැනුම ලැබේ.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,ඒ ගස ඉතා උසය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම චිත්‍රයක් අඳිමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,ගුරුවරු සෙල්ලම් කරති.
ලිවීම,clean_sentence,general,වාක්‍ය ලියන විට අදහස පැහැදිලි විය යුතුය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම සටහනක් ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම චිත්‍රයක් අඳිමි.
විනෝදය_කලාව,clean_sentence,general,ගුරුවරිය අපට රසවත් කවියක් කියා දුන්නාය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,මල් පිපෙති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි පන්ති කාමරය පිරිසිදු කරමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,මේ පොත මගේය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම ගීයක් ගයමි.
භාෂා භාවිතය,clean_sentence,විස්මය_වාක්‍ය,අද මොන තරම් ලස්සන දවසක්ද!
පවුල,clean_sentence,general,මම මගේ පොත් මේසය මත පිළිවෙළට තබමි.
භාෂා භාවිතය,clean_sentence,ප්‍රශ්න_වාක්‍ය,ඔයා කියවූ පොතේ නම කුමක්ද?
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,කවිඳු චිත්‍රයක් ඇන්දේය.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,වත්තේදී අපි ගුරුවරියට සවන් දෙමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම සටහනක් ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම මිතුරාට උදව් කරමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,සිසුහු පාඩම කියවති.
සෞඛ්‍යය,clean_sentence,general,අපි ආහාර ගැනීමට පෙර අත් සෝදමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි ගී ගයමු.
කියවීම,clean_context,වාක්‍ය සම්බන්ධ කිරීම,මම කතා පොතක් පුස්තකාලයෙන් ගත්තෙමි. එය කියවා අවසන් වූ පසු නැවත භාර දුන්නෙමි.
ලිවීම,clean_sentence,general,මම පින්තූරයක් බලා එය ගැන වාක්‍ය කිහිපයක් ලියමි.
මිත්‍රත්වය,clean_sentence,general,මම මගේ මිතුරා සමඟ පොතක් කියවමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,කුරුල්ලෝ ගී ගයති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි පන්ති කාමරය පිරිසිදු කරමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,මේ මල් ලස්සනය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම පොත කියවමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,කවිඳු පාඩම් කරයි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,මිතුරෝ එකට සෙල්ලම් කරති.
සෞඛ්‍යය,clean_sentence,general,පිරිසිදු ජලය පානය කිරීම සෞඛ්‍යයට හොඳය.
පාසල,clean_context,වාක්‍ය සම්බන්ධ කිරීම,අද අපේ පන්තියේ පොත් කියවීමේ වැඩසටහනක් තිබුණි. සිසුහු කැමති පොත් තෝරාගෙන කියවූහ.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි ගුරුවරියට සවන් දෙමු.
කියවීම,clean_sentence,general,මම කවියක් කියවා එහි ලස්සන වචන සොයා ගත්තෙමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම පන්ති කාමරය පිරිසිදු කරමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,ළමයි ලියති.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,ගුරුවරිය පාඩම පැහැදිලි කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම ගීයක් ගයමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම මිතුරාට උදව් කරමි.
මිත්‍රත්වය,clean_sentence,general,අපේ කණ්ඩායම එකමුතුවෙන් වැඩ කළේය.
පවුල,clean_sentence,general,ඊයේ අපි ආච්චිගේ නිවසට ගියෙමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම මිතුරාට උදව් කරමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,සිසුහු අඳිති.
ප්‍රජාව,clean_sentence,general,අපේ ගමේ මිනිසුන් එකිනෙකාට උදව් කරති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි පන්ති කාමරය පිරිසිදු කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම ගුරුවරියට සවන් දෙමි.
පවුල,clean_sentence,general,මගේ නංගී චිත්‍ර අඳින්නට කැමතියි.
ප්‍රජාව,clean_sentence,general,අපි වැඩිහිටියන්ට ගරු කරමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි ගුරුවරියට සවන් දෙමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,ඔහු තම පොත මේසය මත තැබීය.
සෞඛ්‍යය,clean_sentence,general,සෞඛ්‍ය සම්පන්න පුරුදු දිනපතා පවත්වා ගත යුතුය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම ගසට ජලය දමමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,අමා හෙට කවියක් ලියයි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි පොත් කියවමු.
මිත්‍රත්වය,clean_context,වාක්‍ය සම්බන්ධ කිරීම,මගේ මිතුරාට පොතක් අවශ්‍ය විය. මම මගේ පොත ඔහු සමඟ බෙදා ගත්තෙමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,ඔහු පාසලට වේලාසනින් පැමිණියේය.
ලිවීම,clean_sentence,general,ගුරුවරිය අපට ලිපියක ආකෘතිය පැහැදිලි කළාය.
පවුල,clean_sentence,general,අපි නිවාඩු දිනයේදී පවුලේ වැඩකටයුතු කළෙමු.
සෞඛ්‍යය,clean_sentence,general,පාසලේදී අපි පිරිසිදුකම ගැන ඉගෙන ගත්තෙමු.
මිත්‍රත්වය,clean_sentence,general,මිතුරෙකුට කරදරයක් වූ විට අපි ඔහුට උදව් කළ යුතුය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,මම කියවයි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,අමා සෙල්ලම් කරයි.
ලිවීම,clean_sentence,general,අපි පාසල් උත්සවය ගැන කෙටි සටහනක් ලියමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,සචින් බලයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම ගුරුවරියට සවන් දෙමි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,මම හෙට පුස්තකාලයට යමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි ගී ගයමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම පන්ති කාමරය පිරිසිදු කරමි.
පරිසරය,clean_sentence,general,අපි කසළ නිසි ස්ථානයට දමමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි ගස් රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම ගසට ජලය දමමි.
විනෝදය_කලාව,clean_sentence,general,මම මල් සහ ගස් ඇති පින්තූරයක් ඇඳිමි.
මිත්‍රත්වය,clean_sentence,general,අපි ජයග්‍රහණය සතුටින් සැමරුවෙමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම පන්ති කාමරය පිරිසිදු කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම පොත කියවමි.
පවුල,clean_sentence,general,අම්මා මට පොත් රාක්කය පිළිවෙළට තබන්නට උදව් කළාය.
ලිවීම,clean_sentence,general,මම ලියූ සටහන නැවත කියවා වැරදි නිවැරදි කළෙමි.
භාෂා භාවිතය,clean_sentence,ප්‍රශ්න_වාක්‍ය,මේ කතාවේ ප්‍රධාන චරිතය කවුද?
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,නිමාලි අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම සටහනක් ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පාසලේදී මම ගීයක් ගයමි.
විනෝදය_කලාව,clean_sentence,general,අපේ කණ්ඩායම ගීයක් ගායනා කළේය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,මේ පින්තූරය මට කැමතියි.
පරිසරය,clean_sentence,general,ගස් අපට පිරිසිදු වාතය ලබා දෙයි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,සඳුනි පිරිසිදු කරයි.
කියවීම,clean_sentence,general,පුස්තකාලයේ විවිධ පොත් තිබේ.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_සර්වනාම_වාක්‍ය,ඇය මිතුරියට උදව් කළාය.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අනාගත_අර්ථය,අපි හෙට ගසක් සිටුවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම ගුරුවරියට සවන් දෙමි.
පවුල,clean_sentence,general,තාත්තා වත්තේ පැළ රැකබලා ගනියි.
සෞඛ්‍යය,clean_sentence,general,මම සෞඛ්‍ය සම්පන්න ආහාර තෝරා ගනිමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි පොත් කියවමු.
ප්‍රජාව,clean_sentence,general,අපි පොදු ස්ථාන පිරිසිදුව තබමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,මමයි ලියයි.
පරිසරය,clean_sentence,general,ගඟේ ජලය පිරිසිදුව තබා ගැනීම අපගේ වගකීමකි.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_ඒකවචන,රවිඳු රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි චිත්‍ර අඳිමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි පන්ති කාමරය පිරිසිදු කරමු.
ප්‍රජාව,clean_sentence,general,මම අසල්වැසියාට උදව් කළෙමි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පාසලේදී අපි පොත් කියවමු.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි සටහන් ලියමු.
කියවීම,clean_sentence,general,හොඳ පොතක් අපට හොඳ අදහස් ලබා දෙයි.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,නිවසේදී අපි චිත්‍ර අඳිමු.
ප්‍රජාව,clean_sentence,general,සමාජයේ සාමය පවත්වා ගැනීමට එකමුතුව අවශ්‍යය.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,පුස්තකාලයේදී අපි ගුරුවරියට සවන් දෙමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,වත්තේදී මම ගුරුවරියට සවන් දෙමි.
ලිවීම,clean_sentence,general,මම මගේ මිතුරාට ලිපියක් ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,ක්‍රීඩා පිටියේදී මම ගුරුවරියට සවන් දෙමි.
පාසල,clean_sentence,general,ගුරුවරිය අපට පැහැදිලිව පාඩම කියා දුන්නාය.
විනෝදය_කලාව,clean_sentence,general,ළමයි සංගීතයට සවන් දෙති.
භාෂා භාවිතය,clean_sentence,විධාන_වාක්‍ය,ගසට ජලය දමන්න.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_අතීත_කාලය,ළමයි වත්ත පිරිසිදු කළහ.
මිත්‍රත්වය,clean_sentence,general,අපි එකිනෙකාගේ අදහස් සවන් දී අලුත් දෙයක් ඉගෙන ගනිමු.
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_වර්තමාන_බහුවචන,කුරුල්ලෝ රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,බහුවචන ක්‍රියාපද,ක්‍රීඩා පිටියේදී අපි ගස් රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම පොත කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,නිවසේදී මම සටහනක් ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද භාවිතය,පුස්තකාලයේදී මම චිත්‍රයක් අඳිමි.
මිත්‍රත්වය,clean_sentence,general,හොඳ මිතුරෝ එකිනෙකාට උදව් කරති.
භාෂා භාවිතය,clean_sentence,ප්‍රශ්න_වාක්‍ය,ඔබ අද පාසලට ගියේද?
සෞඛ්‍යය,clean_context,වාක්‍ය සම්බන්ධ කිරීම,අපි උදෑසන පලතුරු කෑවෙමු. පිරිසිදු ආහාර ගැනීම සෞඛ්‍යයට හොඳය.
භාෂා භාවිතය,clean_sentence,විස්මය_වාක්‍ය,මේ මල හරිම ලස්සනයි!
භාෂා භාවිතය,clean_sentence,ව්‍යාකරණ_කර්තෘ_ක්‍රියා_සම්බන්ධය,පොත් රාක්කයේ තිබේ.
මිත්‍රත්වය,clean_sentence,general,මිතුරන් සමඟ සතුටින් කාලය ගත කළෙමු.
මිත්‍රත්වය,clean_sentence,general,මම මගේ මිතුරියගේ අදහසට ගරු කරමි.
පරිසරය,clean_sentence,general,කුරුල්ලෝ උදෑසන ගී ගයති.
පාසල,clean_sentence,general,ගුරුවරයා අපට කණ්ඩායමක් ලෙස වැඩ කිරීමට අවස්ථාව දුන්නේය.
