what students written,remarks,ground_truth
ගඟ දෙපස සිටින මුරකරුවන් වැන්න.,correct,ගඟ දෙපස සිටින මුරකරුවන් වැන්න.
ගඟ හා රහස් කොඳුරන ලෙසිනි .,correct,ගඟ හා රහස් කොඳුරන ලෙසිනි.
අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.,correct,අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.
විස්තර කථන,correct,විස්තර කථන
"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට ඒ",correct,"යම් අවස්ථාවක්, සිද්ධියක් දෙස බලා සිට ඒ"
පිළිබඳ විස්තර කර දීම විස්තර කථනයක්,correct,පිළිබඳවිස්තර කර දීම විස්තර කථනයක්
ලෙසින් හඳුන්වයි .,correct,ලෙසින් හඳුන්වයි.
"උදා:- ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙ",Vowel/diacritic,"උදා: - ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වේ."
පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,correct,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
ගොඩනැගිල්ලක් විවෘත කිරීමක්,correct,ගොඩනැගිල්ලක් විවෘත කිරීම
පොළක්,correct,පොළක්
පෙරහැරක . . . .,Vowel/diacritic,පෙරහැරක්...
කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙනි,correct,කර උස්සා අප දෙස බලා සිටින මිනිසුන් මෙනි
හෙලිකොප්ටර් යානා පරිද්දෙනි .,correct,හෙලිකොප්ටර් යානා පරිද්දෙනි.
ගඟ දෙපස සිටින මුරකරුවන් වැන්න,Punctuation,ගඟ දෙපස සිටින මුරකරුවන් වැන්න.
අඩු විහිඳාගත් දැවැන්ත සතෙක මෙනි.,correct,අඬු විහිඳාගත් දැවැන්ත සතෙකු මෙනි.
පරවියා,correct,පරවියා
ගොළුබෙල්ලා,correct,ගොළුබෙල්ලා
ගෝරිල්ලා,correct,ගෝරිල්ලා
අලියා,correct,අලියා
ජිරාෆ්,correct,ජිරාෆ්
අශ්වයා,correct,අශ්වයා
කුකුළා,correct,කුකුළා
මීයා,correct,මීයා
වවුලා,correct,වවුලා
පබළු ඇට,correct,පබළු ඇට
හැරමිටිය,correct,හැරමිටිය
කෝටුවක්,correct,කෝටුවක්
මල්,correct,මල්
මාලෙ,Vowel/diacritic,මාලේ
පෙට්ටිය,correct,පෙට්ටිය
වෙස්මුහුණු,Word boundary,වෙස් මුහුණු
කරත්තය,correct,කරත්තය
කබාය,correct,කබාය
පොත්,correct,පොත්
සමානාර්ථ පද ලිවීමේ දී,correct,සමානාර්ථ පද ලිවීමේ දී
ඒක වචන බහු වචන බේදය,Retroflex,ඒක වචන බහු වචන භේදය
ගැන සැලකිලිමත් විය යුතුය .,correct,ගැන සැලකිලිමත් විය යුතුය.
ලෙස හඳුන්වයි .,correct,ලෙස හඳුන්වයි.
දෙන විවිධ පද  සමානාර්ථ පද,correct,දෙන විවිධ පද සමානාර්ථ පද
කියන්නේ නම් එකම අදහස,correct,කියන්නේ නම් එකම අදහස
මේවා වෙනත් ආකාරයකින්,correct,මේවා වෙනත් ආකාරයකින්
යුතුය .,correct,යුතුය.
විරුද්ධාර්ථ පද,correct,විරුද්ධාර්ථ පද
අර්ථයෙන්  විරුද්ධ අදහස දෙන,correct,අර්ථයෙන් විරුද්ධ අදහස දෙන
පද විරුද්ධ පද ලෙස හඳුන්වයි .,correct,පද විරුද්ධ පද ලෙස හඳුන්වයි.
විරුද්ධාර්ථ  පද ලිවීමේ දී පද,correct,විරුද්ධාර්ථ පද ලිවීමේ දී පද
දෙක අතර කෙටි ඉර යෙදිය,correct,දෙක අතර කෙටි ඉර යෙදිය
යුතුය,Punctuation,යුතුය.
කෙනෙක් කියන ලද දෙයකට,correct,කෙනෙක් කියන ලද දෙයකට
ගැනීමේදී යුගල උඩු කොමාව,correct,ගැනීමේදී යුගල උඩු කොමාව
සහ යමකින් උපුටා,correct,සහ යමකින් උපුටා
යොදනු ලැබෙයි.,Vowel/diacritic,යොදනු ලැබෙයි.
උපන් දිනය - 2017.2.24,correct,උපන් දිනය - 2017.2.24
පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම මහා විද්‍යාලය,correct,පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම මහා විද්‍යාලය
නම - ටෙහාරා මෙත්නා,correct,නම - ටෙහාරා මෙත්නා
මුලකුරු සමඟ නම- ඩ්බ්ලිව්. ඒ. ටෙහාරා මෙත්නා,correct,මුලකුරු සමඟ නම- ඩ්බ්ලිව්. ඒ. ටෙහාරා මෙත්නා
සම්පූර්ණ නම - වීරසූරිය ආරච්චිගේ ටෙහාරා මෙත්නා,correct,සම්පූර්ණ නම - වීරසූරිය ආරච්චිගේ ටෙහාරා මෙත්නා
"ලිපිනය - 23/ 1111, හබරකඩ, හෝමාගම",correct,"ලිපිනය - 23/ 1111, හබරකඩ, හෝමාගම"
උපන් දිනය 2017.2.24,correct,උපන් දිනය 2017.2.24
පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම මහා විද්‍යාලය,correct,පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම මහා විද්‍යාලය
පහත ප්‍රස්ථා පිරුළුවල තේරුම ලියන්න,Punctuation,පහත ප්‍රස්ථා පිරුළුවල තේරුම ලියන්න.
ඉබ්බාගෙන් පිහාටු ඉල්ලනවා වගේ,Punctuation,ඉබ්බාගෙන් පිහාටු ඉල්ලනවා වගේ.
කෙනෙකුගෙන් කිසේවත් ලබා ගත නොහැකි දෙයක් ලබා ගැනීමට,Word boundary,කෙනෙකුගෙන් කිසේ වත් ලබා ගත නොහැකි දෙයක් ලබා ගැනීමට
කෙනෙකුගෙන් කිසේවත් ලබා ගත නොහැකි දෙයක් ලබා ගැනීමට,Vowel/diacritic,කෙනෙකුගෙන් කෙසේ වත් ලබා ගත නොහැකි දෙයක් ලබා ගැනීමට
උත්සාහ දැරීම,correct,උත්සාහ දැරීම
පරංගියා කෝට්ටේ ගියා වගේ,Punctuation,පරංගියා කෝට්ටේ ගියා වගේ.
කිට්ටු පාරක් තිබියදි දුර පාරකින් යාම,Punctuation,කිට්ටු පාරක් තිබියදි දුර පාරකින් යාම.
වල විශේෂත්වයයි,Punctuation,වල විශේෂත්වයයි.
මේවා භාවිතය නිසා ලියන දේ වඩා අලංකාර වේ,Punctuation,මේවා භාවිතය නිසා ලියන දේ වඩා අලංකාර වේ.
යුගල පද ලිවීමේදී පද දෙක වෙන් කර ලිවිය යුතුය,correct,යුගල පද ලිවීමේදී පද දෙක වෙන් කර ලිවිය යුතුය
අයියා සවසට පන්තියට ගොස්,Punctuation,"අයියා සවසට පන්තියට ගොස්,"
එයි,Punctuation,එයි.
ගොවියා වනසතුන්ගෙන් ගොවිතැන,correct,ගොවියා වනසතුන්ගෙන් ගොවිතැන
ආරක්ෂා කර ගනියි,Punctuation,ආරක්ෂා කර ගනියි.
යහළුවා තෑගි බෝග ගෙන,correct,යහළුවා තෑගි බෝග ගෙන
පාසලට පැමිණෙයි.,correct,පාසලට පැමිණෙයි.
මහප්පා ගමේ සිට එන විට අපට,correct,මහප්පා ගමේ සිට එන විට අපට
ටොෆි ගෙනෙයි.,correct,ටොෆි ගෙනෙයි.
හිරුෂ පාසලේ ප්‍රධාන ගිෂ්‍ය,correct,හිරුෂ පාසලේ ප්‍රධාන ගිෂ්‍ය
නායකයා වෙයි,Punctuation,නායකයා වෙයි.
නම - දැහැමි දෙව්සරී මීපාගල,correct,නම - දැහැමි දෙව්සරී මීපාගල
සම්පූර්ණ නම - දැහැමි දෙව්සරී,correct,සම්පූර්ණ නම - දැහැමි දෙව්සරී
මීපාගල,correct,මීපාගල
මුලකුරු සමඟ නම - එම්. දැහැමි,correct,මුලකුරු සමඟ නම - එම්. දැහැමි
දෙව්සරී,correct,දෙව්සරී
"ලිපිනය - 9/, පැළෑඳගොඩ පාර,",correct,"ලිපිනය - 9/, පැළෑඳගොඩ පාර,"
"පනාගොඩ, හෝමාගම",correct,"පනාගොඩ, හෝමාගම"
උපන්දිනය - 2016/07/14,correct,උපන්දිනය - 2016/07/14
පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම,correct,පාසලේ නම - බප/හෝ/ ශ්‍රී පරාක්‍රම
මහා විද්‍යාලය,correct,මහා විද්‍යාලය
වැරදී සෑදීම,correct,වැරදී සෑදීම
කාර්යශූර,correct,කාර්යශූර
යුගල පද,correct,යුගල පද
"යුගල යනු, දෙකක් වන අතර එකවර",correct,"යුගල යනු, දෙකක් වන අතර එකවර"
පද දෙකක් ලිවීම යුගල පදවල,correct,පද දෙකක් ලිවීම යුගල පදවල
විශේෂත්වයයි.,correct,විශේෂත්වයයි.
"මේවා භාවිතය නිසා, ලියන දේ",correct,"මේවා භාවිතය නිසා, ලියන දේ"
වඩා අලංකාර වේ .,correct,වඩා අලංකාර වේ.
"යුගල පද ලිවීමේ දී, පද දෙක",correct,"යුගල පද ලිවීමේ දී, පද දෙක"
වෙන්කර ලිවිය යුතු ය.,correct,වෙන්කර ලිවිය යුතු ය.
අනම් - මනම්,correct,අනම් - මනම්
විහිළු  තහළු,correct,විහිළු තහළු
වාද විවාද,correct,වාද විවාද
අරුම පුදුම,correct,අරුම පුදුම
අස්සක් මුල්ලක්,correct,අස්සක් මුල්ලක්
බලා ලිවීම,correct,බලා ලිවීම
"පන්තිය වටා ඇවිද්දාය """,Word boundary,"පන්තිය වටා ඇවිද්දා ය """
"""හැමෝම පොත් ගන්න",Punctuation,"""හැමෝම පොත් ගන්න"""
පවනි කිව්වාය.,Word boundary,පවනි කිව්වා ය.
"""පවනි ගුරුවරියක් මෙන්",Punctuation,පවනි ගුරුවරියක් මෙන්
අද අපි සෙල්ලමක් කරමු .,correct,අද අපි සෙල්ලමක් කරමු.
බලා ලිවීම,correct,බලා ලිවීම
'හැමෝම පොතේ,Punctuation,හැමෝම පොතේ
ගැහැනු / පිරිමි/ පලතුරු/ සත්තු,correct,ගැහැනු / පිරිමි/ පලතුරු/ සත්තු
"ගම් ) කියා ලියන්න """,Punctuation,ගම් ) කියා ලියන්න.
සෙල්ලම් පන්තියේ සිටි ළමයින්,correct,සෙල්ලම් පන්තියේ සිටි ළමයින්
කිහිප දෙනෙකු නම් සඳහන්,missing word/letter,කිහිප දෙනෙකුගේ නම් සඳහන්
කරන්න ? මනුක  සහන්,Punctuation,"කරන්න? මනුක, සහන්"
රාධා නිපුණ .,Punctuation,"රාධා, නිපුණ."
සියලු දෙනා ම මනුකට,correct,සියලු දෙනා ම මනුකට
අත් පොළසන් දුන්නේ,correct,අත් පොළසන් දුන්නේ
ඇයි?,correct,ඇයි?
ඔහු දින්න නිසා .,correct,ඔහු දින්න නිසා.
දිනිති දිය ඇල්ල නරඹයි .,correct,දිනිති දිය ඇල්ල නරඹයි.
දෑතට දෑකැති දෙකක්,correct,දෑතට දෑකැති දෙකක්
දුර ගමන් යෑම දුෂ්කරය.,correct,දුර ගමන් යෑම දුෂ්කරය.
දොළ ළඟ දොඹ ගසක්,correct,දොළ ළඟ දොඹ ගසක්
ගන්න .,correct,ගන්න.
ඇත .,correct,ඇත.
දීපා දීකිරි දීසියට දමයි .,correct,දීපා දීකිරි දීසියට දමයි.
වෛද්‍ය,correct,වෛද්‍ය
දෛවය,correct,දෛවය
මෛතිය,correct,මෛතිය
"යුගල උඩු කොමාව ("""")",correct,"යුගල උඩු කොමාව ("""")"
"""හොඳින් ඉගෙනගන්න"" යැයි",correct,"""හොඳින් ඉගෙනගන්න"" යැයි"
පැවසුවේ ය,Punctuation,පැවසුවේ ය.
ගුරුතුමා අප දෙස බලා,correct,ගුරුතුමා අප දෙස බලා
රටේ අසිරිය,correct,රටේ අසිරිය
අපේ රට මුහුදෙන් වට වී ඇත,Punctuation,අපේ රට මුහුදෙන් වට වී ඇත.
අපේ රටේ පොළොවේ සාරවත් ව,correct,අපේ රටේ පොළොවේ සාරවත් ව
ගස් පැළවී තිබෙයි.,correct,ගස් පැළවී තිබෙයි.
"අපේ රටේ ගස්,වැල් වලින් පිරී",correct,"අපේ රටේ ගස්, වැල් වලින් පිරී"
දා- ඇලපිල්ල,correct,දා- ඇලපිල්ල
දි - දීර්ඝ ඉස්පිල්ල,correct,දි - දීර්ඝ ඉස්පිල්ල
දු - පාපිල්ල,correct,දු - පාපිල්ල
දේ - කොම්බුව සහ හල්කිරීම,Word boundary,දේ - කොම්බුව සහ හල් කිරීම
දෙ - කොම්බුව,correct,දෙ - කොම්බුව
දූ - දීර්ඝ පාපිල්ල,correct,දූ - දීර්ඝ පාපිල්ල
දී - කෙටි ඉස්පිල්ල,correct,දී - කෙටි ඉස්පිල්ල
දෑ - දික් ඇදැපිල්ල,correct,දෑ - දික් ඇදැපිල්ල
දැ- කෙටි ඇදපිල්ල,correct,දැ- කෙටි ඇදපිල්ල
කෙටි ඇදපිල්ල,correct,කෙටි ඇදපිල්ල
දො - කොම්බුව සහ ඇලපිල්ල,correct,දො - කොම්බුව සහ ඇලපිල්ල
දෝ - කොම්බුව සහ ඇලපිල්ල හා,correct,දෝ - කොම්බුව සහ ඇලපිල්ල හා
හල්කිරීම .,Word boundary,හල් කිරීම.
"සිහිනයක, ජීවත් වූ පුංචි දැරියක්",correct,"සිහිනයක, ජීවත් වූ පුංචි දැරියක්"
"සිටියා ය. ඇයගේ අම්මා, තාත්තා,",correct,"සිටියා ය. ඇයගේ අම්මා, තාත්තා,"
"අත්තම්මා, ලොකු අම්මා වගේ පවුලේ",correct,"අත්තම්මා, ලොකු අම්මා වගේ පවුලේ"
ම අය ඒ සිහිනවල ජීවත් වූහ.,correct,ම අය ඒ සිහිනවල ජීවත් වූහ.
ඒ වගේ ම ගමේ අසල්වැසි වාඩිහිටියෝ,correct,ඒ වගේ ම ගමේ අසල්වැසි වාඩිහිටියෝ
"සහ නෑ හිතමිතුරෝ ද, ගමට ආ ගිය",correct,"සහ නෑ හිතමිතුරෝ ද, ගමට ආ ගිය"
අය ද ඒ අතර වූහ. එපමණක්,correct,අය ද ඒ අතර වූහ. එපමණක්
"නොව, ඇය ජීවත් වූ පරිසරය.",correct,"නොව, ඇය ජීවත් වූ පරිසරය."
පිලි සහිත වචන ලියමු.,correct,පිලි සහිත වචන ලියමු.
මාලය කෙකටිය,correct,මාලය කෙකටිය
වැස්ස මේසය,correct,වැස්ස මේසය
කෑරලා බෝතලය,correct,කෑරලා බෝතලය
සීගිරිය ධෛර්ය,correct,සීගිරිය ධෛර්ය
ගුරුතුමා වෘත්තය,correct,ගුරුතුමා වෘත්තය
කේතලය ක්‍රමය,correct,කේතලය ක්‍රමය
තොවිලය ගාථාව,correct,තොවිලය ගාථාව
"උදා ÷  අම්මා පොළට ගොස් අඹ, කෙසෙල්,",correct,"උදා ÷ අම්මා පොළට ගොස් අඹ, කෙසෙල්,"
අන්නාසි ගෙනාවාය.,Word boundary,අන්නාසි ගෙනාවා ය.
"ඇයගේ අම්මා, තාත්තා, අත්තම්මා,",correct,"ඇයගේ අම්මා, තාත්තා, අත්තම්මා,"
ලොකු අම්මා වගේ පවුලේ ම අය ඒ,correct,ලොකු අම්මා වගේ පවුලේ ම අය ඒ
සිහිනවල ජීවත්  වූහ.,correct,සිහිනවල ජීවත් වූහ.
බලා ලිවීම,correct,බලා ලිවීම
මම හොඳින් වැඩ කර ජය,correct,මම හොඳින් වැඩ කර ජය
ලබමි,Punctuation,ලබමි.
මම හොඳින් වැඩ කර ජය,correct,මම හොඳින් වැඩ කර ජය
ලබමි,Punctuation,ලබමි.
"ඇලපිල්ල  - රාධා,වාඩි",correct,"ඇලපිල්ල - රාධා, වාඩි"
ලකුණ -ක්‍රීඩාවේ,correct,ලකුණ -ක්‍රීඩාවේ
කොම්බුව සහිත ඇලපිල්ල -,correct,කොම්බුව සහිත ඇලපිල්ල -
"බොහෝම , හොඳයි",correct,"බොහෝම, හොඳයි"
දික් ඉස්පිල්ල - තීරු,correct,දික් ඉස්පිල්ල - තීරු
"කෙටි ඉස්පිල්ල - පිරිමි, පිලි",correct,"කෙටි ඉස්පිල්ල - පිරිමි, පිලි"
දික් ඇදපිල්ල - ඕනෑ,correct,දික් ඇදපිල්ල - ඕනෑ
"කෙටි ඇදපිල්ල - හැමෝම, දැන්",correct,"කෙටි ඇදපිල්ල - හැමෝම, දැන්"
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
වෛවර්ණ,correct,වෛවර්ණ
නා.හ = නාවික හමුදාව,correct,නා.හ = නාවික හමුදාව
ම.වි = මහා විද්‍යාලය,correct,ම.වි = මහා විද්‍යාලය
ප්‍රශ්නාර්ථ ලකුණ (?),correct,ප්‍රශ්නාර්ථ ලකුණ (? )
උදා :- ඇයගේ ප්‍රියතම නෑදෑ,correct,උදා: - ඇයගේ ප්‍රියතම නෑදෑ
කරපු දේවල් ගැනද ?,correct,කරපු දේවල් ගැනද?
කිරි අම්මා ඔය ලියන්නෙ අපි,correct,කිරි අම්මා ඔය ලියන්නෙ අපි
කවුද ?,correct,කවුද?
මං ගැනත් ලියනවාද ?,correct,මං ගැනත් ලියනවාද?
චරිතාරෝපිතව කතා,correct,චරිතාරෝපිතව කතා
කරමු .,correct,කරමු.
අපට අසනීප වූ විට බෙහෙත්,correct,අපට අසනීප වූ විට බෙහෙත්
ලබා දෙයි.,correct,ලබා දෙයි.
ඔහුට වෙද නළාවක් ද ඇත.,correct,ඔහුට වෙද නළාවක් ද ඇත.
ඔහු අපේ රටට විශේෂ,correct,ඔහු අපේ රටට විශේෂ
සේවාවක් සපයයි.,correct,සේවාවක් සපයයි.
කෲසෝ,correct,කෲසෝ
කෲර,correct,කෲර
බෲනායි,correct,බෲනායි
දෝත පුරා මල් අරගෙන,correct,දෝත පුරා මල් අරගෙන
සුවඳ ගෙනෙන්නේ කවුද?,correct,සුවඳ ගෙනෙන්නේ කවුද?
සීගිරියේ ලෙන්දොරකඩ,Word boundary,සීගිරියේ ලෙන් දොරකඩ
ලංකාව හැඳින්වීමට කවි,correct,ලංකාව හැඳින්වීමට කවි
සිටින සුරංගනාවෝ.,correct,සිටින සුරංගනාවෝ.
පන්තියේ යොදා ඇති වෙනත්,correct,පන්තියේ යොදා ඇති වෙනත්
නම් මොනවද?,correct,නම් මොනවද?
රත්නදීප,correct,රත්නදීප
ලංකාව,correct,ලංකාව
ඉන්දීය සයුරේ මුතු ඇටය,correct,ඉන්දීය සයුරේ මුතු ඇටය
මේ ශ්‍රී ලංකාවයි  මිතුරනි,correct,මේ ශ්‍රී ලංකාවයි මිතුරනි
මා ඉපදුණ මගේ මව් රට,correct,මා ඉපදුණ මගේ මව් රට
සැමදා  සුරකිමු මිතුරනි.,correct,සැමදා සුරකිමු මිතුරනි.
හැදී වැඩී දිලෙන මගේ රට,correct,හැදී වැඩී දිලෙන මගේ රට
තෑගි ගොඩක් ඇත.,correct,තෑගි ගොඩක් ඇත.
තුරු සෙවණ,correct,තුරු සෙවණ
කොහොඹ තුරු සෙවණ යට,correct,කොහොඹ තුරු සෙවණ යට
හරි ම සිසිලක් දැනෙයි.,correct,හරි ම සිසිලක් දැනෙයි.
මල් සුවඳ,correct,මල් සුවඳ
සේපාලිකා මල් සුවඳ රාත්‍රීය,correct,සේපාලිකා මල් සුවඳ රාත්‍රීය
පුරා දසත පතුරවයි.,correct,පුරා දසත පතුරවයි.
අවබෝධය,correct,අවබෝධය
සතුටින් පොත් තෝරා ගත්,correct,සතුටින් පොත් තෝරා ගත්
තොවිලය,correct,තොවිලය
ශෛල,correct,ශෛල
ගෞරවය,correct,ගෞරවය
ත්‍යාගය,correct,ත්‍යාගය
රාමාණය,missing word/letter,රාමායණය
ඉවුරේ,correct,ඉවුරේ
හැංගුණා,correct,හැංගුණා
රැවුළ,correct,රැවුළ
සම්මාන,correct,සම්මාන
හීනයක,correct,හීනයක
අඟුරු,correct,අඟුරු
ඊළඟට,correct,ඊළඟට
මකුළුවා,correct,මකුළුවා
අපූරු,correct,අපූරු
විදෙස් පුවත්,correct,විදෙස් පුවත්
ක්‍රීඩා පුවත්,correct,ක්‍රීඩා පුවත්
දෙකකට හානි සිදු වී ඇත .,correct,දෙකකට හානි සිදු වී ඇත.
ලෝකඩ පදක්කම් දිනා ගත්,correct,ලෝකඩ පදක්කම් දිනා ගත්
එල්ල වී ඇත. එහි ඉන්ධන ටැංකි,correct,එල්ල වී ඇත. එහි ඉන්ධන ටැංකි
ගබඩාවකට යුක්‍රේන ප්‍රහාරයක්,correct,ගබඩාවකට යුක්‍රේන ප්‍රහාරයක්
දකුණු රුසියාවේ ඉන්ධන,correct,දකුණු රුසියාවේ ඉන්ධන
නුවන් ඉන්දික සහ ප්‍රදීප්,correct,නුවන් ඉන්දික සහ ප්‍රදීප්
සෝමසිරි ඇතුළු ක්‍රීඩකයින්,correct,සෝමසිරි ඇතුළු ක්‍රීඩකයින්
කටුනායක බණ්ඩාර නායක,correct,කටුනායක බණ්ඩාර නායක
ජාත්‍යන්තර නිලධාරීන් විසින්,correct,ජාත්‍යන්තර නිලධාරීන් විසින්
පාඩමෙහි කියවෙන ජන,correct,පාඩමෙහි කියවෙන ජන
රබන් ගැසීම,correct,රබන් ගැසීම
ක්‍රීඩාව කුමක්ද?,correct,ක්‍රීඩාව කුමක්ද?
පාසලේ සිට නිවසට,correct,පාසලේ සිට නිවසට
පැමිණීම,correct,පැමිණීම
"ස්නානය කිරීම, අහාර",correct,"ස්නානය කිරීම, අහාර"
"ගැනීම, විවේක ගැනීම.",correct,"ගැනීම, විවේක ගැනීම."
නිවසේ කටයුතුවලට,Word boundary,නිවසේ කටයුතු වලට
පාඩම් වැඩ කටයුතු,correct,පාඩම් වැඩ කටයුතු
සහය  වීම,correct,සහය වීම
බුදුන් වැඳීම හා පාඩ,missing word/letter,බුදුන් වැඳීම හා පාඩම්
"රූපවාහිනි නැරඹීම ,",correct,"රූපවාහිනි නැරඹීම,"
ඉහත ඡේදය නිශ්ශබ්ද ව,correct,ඉහත ඡේදය නිශ්ශබ්ද ව
පටන් ගන්නා වචන,correct,පටන් ගන්නා වචන
ඡේදයෙන් සොයා ලියන්න,Punctuation,ඡේදයෙන් සොයා ලියන්න.
වචන කියවමු,Punctuation,වචන කියවමු.
පුරු පුරු,correct,පුරු පුරු
බුහ් බුහ්,correct,බුහ් බුහ්
කුස්සිය,correct,කුස්සිය
පුතා,correct,පුතා
කුරුලු,correct,කුරුලු
"කෙටි විරාමයක්, කෙටි නැවතීමක්",Punctuation,කෙටි විරාමයක් කෙටි නැවතීමක්
සඳහා වාබ්‍ය ලිවීමේදී,Retroflex,සඳහා වාඛ්‍ය ලිවීමේදී
"උදා:- ගැහැනිය කැලයට ගොස්,",Retroflex,"උදා: - ගැහැණිය කැලයට ගොස්,"
"දර කඩාගෙන, පලාද නෙළාගෙන",correct,"දර කඩාගෙන, පලාද නෙළාගෙන"
ගෙදර ගියා ය.,correct,ගෙදර ගියා ය.
මුවා,correct,මුවා
තුන,correct,තුන
මුල,correct,මුල
රුවල,correct,රුවල
ii. පාඩමට අනුව පැන්සලේ ගුණාංග,correct,ii. පාඩමට අනුව පැන්සලේ ගුණාංග
ගලන ගඟ වගේ,correct,ගලන ගඟ වගේ
මුල් කෘතියේ නම කුමක් ද?,correct,මුල් කෘතියේ නම කුමක් ද?
i පැන්සලේ කතන්දරය සඳහන්,correct,i පැන්සලේ කතන්දරය සඳහන්
කීයද?,correct,කීයද?
කාමරය පැමිණියේ කෙසේද?,missing word/letter,කාමරයට පැමිණියේ කෙසේද?
මකුළුවා යොසාකුට කළගුණ,correct,මකුළුවා යොසාකුට කළගුණ
සැළකුවේ කෙසේද?,correct,සැළකුවේ කෙසේද?
සර්පයා යොසාකුගේ රෙදි වියන,correct,සර්පයා යොසාකුගේ රෙදි වියන
සූකිරි,correct,සූකිරි
සූරය,Vowel/diacritic,සුරය
බූරුවා,correct,බූරුවා
කූඹියා,correct,කූඹියා
